index,Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas rojas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas rojas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas rojas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas rojas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,año,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Pases completados_local_final,Pases completados_visita_final,Pases completados_local_1T,Pases completados_visita_1T,Pases completados_local_2T,Pases completados_visita_2T,Tiros libres_local_final,Tiros libres_visita_final,Tiros libres_local_1T,Tiros libres_visita_1T,Tiros libres_local_2T,Tiros libres_visita_2T,Saques de banda_local_final,Saques de banda_visita_final,Saques de banda_local_2T,Saques de banda_visita_2T,Saques de banda_local_1T,Saques de banda_visita_1T
0,37%,8,4,2,2,5,2,1,26,0,2,217,14,90,87,63%,6,1,3,2,1,1,3,21,1,5,396,19,87,70,38%,6,3,1,2,3,0,0,17,1,104,8,35,44,62%,0,0,0,0,1,0,2,10,2,182,8,39,30,36%,2,1,1,0,2,2,1,9,0,1,113,6,55,43,64%,6,1,3,2,0,1,1,11,1,3,214,11,48,40,2021,,,,,,,,,,,,,,,,,,,,
0,54%,13,7,3,3,4,3,4,17,,3,462,15,80,46,46%,16,5,7,4,4,0,3,6,,1,386,10,94,65,59%,8,4,1,3,1,0,2,7,1,246,10,47,24,41%,8,3,3,2,3,0,2,3,0,166,5,47,33,49%,5,3,2,0,3,3,2,10,,2,216,5,33,22,51%,8,2,4,2,1,0,1,3,,1,220,5,47,32,2021,,,,,,,,,,,,,,,,,,,,
0,60%,11,4,3,4,4,4,1,13,,4,409,10,75,51,40%,10,1,6,3,3,2,2,11,,1,264,12,79,47,60%,4,0,2,2,3,4,0,6,2,180,5,34,25,40%,1,0,0,1,3,1,0,8,1,117,9,34,20,60%,7,4,1,2,1,0,1,7,,2,229,5,41,26,40%,9,1,6,2,0,1,2,3,,0,147,3,45,27,2021,,,,,,,,,,,,,,,,,,,,
0,64%,11,4,2,5,5,0,1,16,,3,481,16,107,75,36%,7,3,3,1,4,0,4,14,,1,269,15,89,49,61%,9,3,2,4,1,0,1,9,,261,6,55,39,39%,3,1,1,1,2,0,3,8,,163,8,49,18,67%,2,1,0,1,4,0,0,7,,3,220,10,52,36,33%,4,2,2,0,2,0,1,6,,1,106,7,40,31,2021,,,,,,,,,,,,,,,,,,,,
0,60%,8,2,5,1,2,1,1,16,1,5,344,14,78,66,40%,8,2,2,4,2,2,1,17,1,5,233,20,84,67,53%,2,0,1,1,1,0,0,9,4,187,9,34,24,47%,3,0,0,3,1,1,0,6,3,159,13,50,38,67%,6,2,4,0,1,1,1,7,0,1,157,5,44,42,33%,5,2,2,1,1,1,1,11,1,2,74,7,34,29,2021,1,0,,,,,,,,,,,,,,,,,,
0,61%,17,8,4,5,4,3,4,9,,1,523,21,130,85,39%,22,6,7,9,6,3,6,7,,1,313,10,127,104,70%,8,2,2,4,3,2,3,5,1,326,13,71,51,30%,8,4,3,1,1,3,1,5,0,135,5,52,34,52%,9,6,2,1,1,1,1,4,,0,197,8,59,34,48%,14,2,4,8,5,0,5,2,,1,178,5,75,70,2021,,,,,,,,,,,,,,,,,,,,
0,42%,7,1,5,1,3,2,6,12,,1,311,7,108,64,58%,14,6,7,1,6,2,0,7,,3,438,9,146,100,43%,6,1,4,1,2,1,2,3,0,179,3,51,42,57%,7,2,4,1,1,1,0,3,1,235,2,72,40,41%,1,0,1,0,1,1,4,9,,1,132,4,57,22,59%,7,4,3,0,5,1,0,4,,2,203,7,74,60,2021,,,,,,,,,,,,,,,,,,,,
0,40%,9,5,4,0,5,3,4,12,,2,308,11,81,63,60%,17,6,8,3,5,2,4,9,,2,465,11,74,44,35%,4,2,2,0,4,2,0,3,,134,4,37,33,65%,3,0,2,1,1,2,1,3,,254,7,38,15,45%,5,3,2,0,1,1,4,9,,2,174,7,44,30,55%,14,6,6,2,4,0,3,6,,2,211,4,36,29,2021,,,,,,,,,,,,,,,,,,,,
0,31%,7,3,4,0,2,2,6,14,,3,245,15,71,41,69%,16,7,6,3,11,0,0,12,,2,532,14,113,78,30%,4,2,2,0,1,1,2,8,,126,6,35,20,70%,8,3,4,1,3,0,0,3,,310,6,59,36,32%,3,1,2,0,1,1,4,6,,3,119,9,36,21,68%,8,4,2,2,8,0,0,9,,2,222,8,54,42,2021,,,,,,,,,,,,,,,,,,,,
0,75%,8,6,2,0,3,4,1,8,,1,643,19,150,74,25%,9,4,4,1,1,0,4,12,,2,211,18,101,48,74%,4,3,1,0,2,3,1,2,,367,9,69,37,26%,8,3,4,1,1,0,3,4,,127,9,54,24,76%,4,3,1,0,1,1,0,6,,1,276,10,81,37,24%,1,1,0,0,0,0,1,8,,2,84,9,47,24,2021,,,,,,,,,,,,,,,,,,,,
0,46%,10,2,6,2,5,1,1,23,,3,327,11,138,81,54%,13,1,11,1,2,4,1,10,,2,380,13,120,70,51%,5,1,3,1,2,1,1,10,1,179,6,69,38,49%,7,1,5,1,1,0,1,4,1,164,8,59,33,41%,5,1,3,1,3,0,0,13,,2,148,5,69,43,59%,6,0,6,0,1,4,0,6,,1,216,5,61,37,2021,,,,,,,,,,,,,,,,,,,,
