Posesión de balón_local_final,Remates_local_final,Remates a puerta_local_final,Remates fuera_local_final,Remates rechazados_local_final,Córneres_local_final,Fueras de juego_local_final,Paradas_local_final,Faltas_local_final,Tarjetas amarillas_local_final,Pases totales_local_final,Pases completados_local_final,Tackles_local_final,Ataques_local_final,Ataques peligrosos_local_final,Posesión de balón_visita_final,Remates_visita_final,Remates a puerta_visita_final,Remates fuera_visita_final,Remates rechazados_visita_final,Córneres_visita_final,Fueras de juego_visita_final,Paradas_visita_final,Faltas_visita_final,Tarjetas amarillas_visita_final,Pases totales_visita_final,Pases completados_visita_final,Tackles_visita_final,Ataques_visita_final,Ataques peligrosos_visita_final,Posesión de balón_local_1T,Remates_local_1T,Remates a puerta_local_1T,Remates fuera_local_1T,Remates rechazados_local_1T,Córneres_local_1T,Fueras de juego_local_1T,Paradas_local_1T,Faltas_local_1T,Tarjetas amarillas_local_1T,Pases totales_local_1T,Pases completados_local_1T,Tackles_local_1T,Ataques_local_1T,Ataques peligrosos_local_1T,Posesión de balón_visita_1T,Remates_visita_1T,Remates a puerta_visita_1T,Remates fuera_visita_1T,Remates rechazados_visita_1T,Córneres_visita_1T,Fueras de juego_visita_1T,Paradas_visita_1T,Faltas_visita_1T,Tarjetas amarillas_visita_1T,Pases totales_visita_1T,Pases completados_visita_1T,Tackles_visita_1T,Ataques_visita_1T,Ataques peligrosos_visita_1T,Posesión de balón_local_2T,Remates_local_2T,Remates a puerta_local_2T,Remates fuera_local_2T,Remates rechazados_local_2T,Córneres_local_2T,Fueras de juego_local_2T,Paradas_local_2T,Faltas_local_2T,Tarjetas amarillas_local_2T,Pases totales_local_2T,Pases completados_local_2T,Tackles_local_2T,Ataques_local_2T,Ataques peligrosos_local_2T,Posesión de balón_visita_2T,Remates_visita_2T,Remates a puerta_visita_2T,Remates fuera_visita_2T,Remates rechazados_visita_2T,Córneres_visita_2T,Fueras de juego_visita_2T,Paradas_visita_2T,Faltas_visita_2T,Tarjetas amarillas_visita_2T,Pases totales_visita_2T,Pases completados_visita_2T,Tackles_visita_2T,Ataques_visita_2T,Ataques peligrosos_visita_2T,Tarjetas rojas_local_final,Tarjetas rojas_visita_final,Tarjetas rojas_local_1T,Tarjetas rojas_visita_1T,Tarjetas rojas_local_2T,Tarjetas rojas_visita_2T,Tiros libres_local_final,Saques de banda_local_final,Tiros libres_visita_final,Saques de banda_visita_final,Tiros libres_local_1T,Saques de banda_local_1T,Tiros libres_visita_1T,Saques de banda_visita_1T,Tiros libres_local_2T,Saques de banda_local_2T,Tiros libres_visita_2T,Saques de banda_visita_2T
52%,20,5,9,6,4,4,3,14,3,395,287,14,133,86,48%,12,3,6,3,2,0,5,14,2,385,250,14,117,62,49%,10,2,4,4,2,3,1,6,2.0,184,130,8,60,39,51%,5,1,2,2,2,0,2,6,1.0,198,133,8,56,29,55%,10,3,5,2,2,1,2,8,1.0,211,157,6,73,47,45%,7,2,4,1,0,0,3,8,1.0,187,117,6,61,33,,,,,,,,,,,,,,,,,,
60%,12,3,7,2,4,2,2,14,2,394,292,7,123,78,40%,8,4,2,2,4,5,2,10,3,258,144,16,98,61,62%,6,0,5,1,2,1,1,3,0.0,217,161,4,64,42,38%,7,3,2,2,3,3,0,4,1.0,130,75,8,49,32,58%,6,3,2,1,2,1,1,11,2.0,177,131,3,59,36,42%,1,1,0,0,1,2,2,6,2.0,128,69,8,49,29,,,,,,,,,,,,,,,,,,
61%,14,7,5,2,8,4,1,10,1,540,467,14,103,51,39%,12,1,9,2,6,0,6,8,2,325,249,14,82,51,68%,7,3,3,1,4,2,0,3,0.0,293,260,7,59,31,32%,6,0,5,1,3,0,3,5,1.0,129,96,7,29,19,54%,7,4,2,1,4,2,1,7,1.0,247,207,7,44,20,46%,6,1,4,1,3,0,3,3,1.0,196,153,7,53,32,,,,,,,,,,,,,,,,,,
52%,17,9,7,1,4,1,3,14,4,418,344,21,108,42,48%,11,4,5,2,3,2,8,8,2,384,295,17,107,33,53%,8,6,1,1,1,1,3,6,1.0,249,208,12,58,18,47%,5,3,2,0,1,0,6,2,0.0,219,168,9,60,16,51%,9,3,6,0,3,0,0,8,3.0,169,136,9,50,24,49%,6,1,3,2,2,2,2,6,2.0,165,127,8,47,17,,,,,,,,,,,,,,,,,,
54%,7,5,1,1,3,3,5,14,5,391,265,14,78,42,46%,12,7,5,0,3,1,5,11,2,323,213,11,96,40,51%,3,2,1,0,1,2,2,7,1.0,177,116,7,28,14,49%,5,3,2,0,2,0,2,3,0.0,164,100,3,45,20,57%,4,3,0,1,2,1,3,7,4.0,214,149,7,50,28,43%,7,4,3,0,1,1,3,8,2.0,159,113,8,51,20,,,,,,,,,,,,,,,,,,
63%,18,4,8,6,10,0,4,12,2,449,345,20,128,79,37%,14,5,7,2,1,1,4,15,4,269,154,33,88,38,61%,5,1,2,2,5,0,1,7,1.0,218,167,9,56,35,39%,7,2,3,2,1,1,1,4,1.0,140,80,11,45,17,66%,13,3,6,4,5,0,3,5,1.0,231,178,11,72,44,34%,7,3,4,0,0,0,3,11,3.0,129,74,22,43,21,,,,,,,,,,,,,,,,,,
55%,16,6,7,3,5,1,2,11,3,435,343,15,139,64,45%,10,4,5,1,5,0,4,8,1,353,249,13,108,46,56%,9,3,4,2,2,0,1,5,1.0,234,190,9,64,36,44%,4,2,2,0,3,0,2,6,1.0,179,131,7,49,25,54%,7,3,3,1,3,1,1,6,2.0,201,153,6,75,28,46%,6,2,3,1,2,0,2,2,0.0,174,118,6,59,21,,,,,,,,,,,,,,,,,,
45%,12,1,5,6,6,5,1,12,2,349,257,14,113,86,55%,9,2,5,2,1,2,1,16,1,428,311,27,116,53,43%,5,0,3,2,2,3,0,6,,169,127,4,53,32,57%,4,0,2,2,1,1,0,7,,219,155,16,52,29,47%,7,1,2,4,4,2,1,6,2.0,180,130,10,60,54,53%,5,2,3,0,0,1,1,9,1.0,209,156,11,64,24,,,,,,,,,,,,,,,,,,
49%,10,6,1,3,0,1,5,9,1,394,305,16,103,40,51%,15,5,8,2,7,0,4,17,4,400,320,11,108,80,59%,5,3,0,2,0,1,2,4,1.0,220,177,7,52,21,41%,5,2,3,0,1,0,2,10,1.0,149,112,5,47,28,39%,5,3,1,1,0,0,3,5,0.0,174,128,9,51,19,61%,10,3,5,2,6,0,2,7,3.0,251,208,6,61,52,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,
45%,13,8,3,2,5,1,5,15,3,414,323,24,98,73,55%,24,9,7,8,1,2,8,10,0,517,437,27,117,68,52%,8,5,2,1,4,0,4,5,2.0,217,167,10,49,40,48%,13,6,4,3,0,1,5,3,0.0,205,163,8,53,33,38%,5,3,1,1,1,1,1,10,1.0,197,156,14,49,33,62%,11,3,3,5,1,1,3,7,0.0,312,274,19,64,35,,,,,,,,,,,,,,,,,,
