Fecha,Local,Visita,gol_local,gol_visita,gol_local_1t,gol_visita_1t
26.01. 19:00,Huachipato,Copiapó,1,0,(0),(0)
22.01. 18:00,Copiapó,Huachipato,2,3,(1),(2)
05.12. 18:00,Audax,Curicó Unido,1,1,(0),(1)
05.12. 18:00,Huachipato,Melipilla,3,1,(2),(1)
05.12. 18:00,U. De Chile,U. La Calera,3,2,(0),(0)
05.12. 18:00,U. Española,Cobresal,0,1,(0),(0)
04.12. 18:00,Antofagasta,Colo Colo,1,0,(1),(0)
04.12. 18:00,Everton,U. Católica,0,3,(0),(1)
04.12. 18:00,La Serena,S. Wanderers,0,0,(0),(0)
04.12. 18:00,Palestino,Ñublense,1,4,(1),(0)
28.11. 18:00,Colo Colo,U. Española,0,1,(0),(0)
28.11. 18:00,Curicó Unido,Palestino,1,1,(1),(0)
28.11. 18:00,U. Católica,Huachipato,2,0,(2),(0)
28.11. 18:00,U. La Calera,La Serena,1,2,(0),(1)
28.11. 12:00,S. Wanderers,Audax,2,2,(0),(1)
27.11. 18:00,Cobresal,U. De Chile,0,0,(0),(0)
27.11. 18:00,Melipilla,Everton,1,0,(0),(0)
27.11. 18:00,O'Higgins,Antofagasta,0,0,(0),(0)
15.11. 20:00,U. De Chile,O'Higgins,0,0,(0),(0)
15.11. 17:30,Huachipato,S. Wanderers,2,0,(0),(0)
14.11. 18:30,Curicó Unido,Colo Colo,0,0,(0),(0)
14.11. 16:00,Palestino,Cobresal,2,1,(0),(0)
14.11. 12:30,Audax,Antofagasta,0,0,(0),(0)
13.11. 21:00,Everton,U. La Calera,1,2,(1),(1)
13.11. 15:30,La Serena,U. Católica,0,2,(0),(1)
13.11. 12:30,Ñublense,U. Española,6,1,(3),(0)
10.11. 19:00,Colo Colo,Melipilla,1,0,(0),(0)
09.11. 19:00,S. Wanderers,Curicó Unido,0,3,(0),(1)
08.11. 20:30,U. Española,Palestino,1,3,(0),(2)
08.11. 18:00,Antofagasta,La Serena,0,0,(0),(0)
07.11. 21:00,U. La Calera,Huachipato,0,2,(0),(0)
07.11. 18:30,Cobresal,Everton,2,2,(2),(1)
07.11. 16:00,O'Higgins,Ñublense,1,1,(1),(1)
07.11. 12:00,U. Católica,U. De Chile,1,0,(0),(0)
06.11. 18:00,Colo Colo,S. Wanderers,3,0,(2),(0)
04.11. 20:30,Ñublense,U. De Chile,1,0,(0),(0)
04.11. 18:00,U. Católica,Antofagasta,4,0,(1),(0)
04.11. 15:30,Palestino,U. La Calera,1,2,(0),(1)
03.11. 21:00,Curicó Unido,O'Higgins,0,2,(0),(0)
03.11. 18:30,Huachipato,U. Española,1,0,(1),(0)
03.11. 16:00,Melipilla,Cobresal,2,1,(1),(1)
02.11. 21:00,Everton,Audax,1,2,(0),(1)
31.10. 20:30,U. La Calera,Melipilla,2,3,(2),(2)
31.10. 18:00,O'Higgins,U. Católica,1,3,(1),(0)
31.10. 12:30,Antofagasta,Ñublense,2,1,(2),(0)
30.10. 18:30,U. Española,Everton,3,2,(2),(1)
30.10. 16:00,U. De Chile,Curicó Unido,1,2,(0),(0)
29.10. 17:50,La Serena,Huachipato,2,2,(2),(0)
29.10. 15:30,S. Wanderers,Palestino,1,1,(1),(1)
28.10. 18:00,Audax,Colo Colo,2,0,(0),(0)
26.10. 11:00,Cobresal,O'Higgins,2,3,(1),(1)
25.10. 21:00,Curicó Unido,U. La Calera,1,1,(0),(0)
25.10. 16:00,Palestino,La Serena,3,3,(2),(2)
25.10. 12:30,S. Wanderers,Antofagasta,0,1,(0),(1)
24.10. 20:00,Huachipato,Audax,0,0,(0),(0)
24.10. 16:30,Colo Colo,U. Católica,2,1,(0),(1)
24.10. 12:00,Melipilla,U. De Chile,3,0,(1),(0)
23.10. 18:00,Ñublense,Everton,1,1,(1),(1)
21.10. 21:00,U. La Calera,Cobresal,1,2,(1),(2)
21.10. 18:30,U. De Chile,Palestino,0,1,(0),(0)
21.10. 16:00,Antofagasta,U. Española,1,2,(1),(0)
20.10. 21:00,Everton,Huachipato,1,0,(1),(0)
20.10. 18:30,U. Católica,S. Wanderers,3,2,(3),(1)
20.10. 14:00,La Serena,Colo Colo,1,4,(0),(2)
19.10. 21:00,O'Higgins,Melipilla,1,2,(1),(1)
19.10. 18:30,Audax,Ñublense,0,3,(0),(1)
16.10. 20:00,Melipilla,La Serena,1,1,(1),(0)
16.10. 17:30,U. Española,Curicó Unido,2,1,(1),(0)
16.10. 15:00,S. Wanderers,Everton,2,1,(1),(1)
16.10. 11:00,Cobresal,U. Católica,1,3,(1),(1)
15.10. 21:00,Ñublense,U. La Calera,0,2,(0),(1)
15.10. 18:30,U. De Chile,Audax,0,1,(0),(1)
15.10. 16:00,Palestino,O'Higgins,2,2,(1),(1)
15.10. 12:30,Huachipato,Antofagasta,0,1,(0),(1)
11.10. 20:30,Curicó Unido,Ñublense,0,0,(0),(0)
11.10. 16:00,O'Higgins,S. Wanderers,1,0,(1),(0)
