,Headline,Autor,Visitas,Fecha,Link
0,Asaltan a guardia en su propia garita en Concepción: vecinos se manifiestan exigiendo seguridad,Christian Leal,24750,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/11/asaltan-a-guardia-en-su-propia-garita-en-concepcion-vecinos-se-manifiestan-exigiendo-seguridad.shtml
1,Más de la mitad de reos en cárcel de Quirihue contagiados de covid-19: decretan cuarentena total,Christian Leal,10090,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2022/09/11/mas-de-la-mitad-de-reos-en-carcel-de-quirihue-contagiados-de-covid-19-decretan-cuarentena-total.shtml
2,Sindicato de Minera Escondida esperará fiscalización de Sernageomin para definir suspensión de faena,Manuel Cabrera,9530,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/economia/negocios-y-empresas/2022/09/11/sindicato-de-minera-escondida-esperara-fiscalizacion-de-sernageomin-para-definir-suspension-de-faena.shtml
3,Mayol critica polémico artículo de Ciper que atribuye parte de victoria del Rechazo a fake news,Christian Leal,24902,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/11/mayol-critica-polemico-articulo-de-ciper-que-atribuye-parte-de-victoria-del-rechazo-a-fake-news.shtml
4,Confirman primer caso de la Viruela del Mono en la región de Arica y Parinacota,Manuel Cabrera,5930,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-arica-y-parinacota/2022/09/11/confirman-primer-caso-de-la-viruela-del-mono-en-la-region-de-arica-y-parinacota.shtml
5,El Presidente no puede callar con 3 personas muertas: Rodrigo Sepúlveda lanza dura critica a Boric,Christian Leal,71336,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/11/el-presidente-no-puede-callar-con-3-personas-muertas-rodrigo-sepulveda-lanza-dura-critica-a-boric.shtml
6,Videos muestran saqueos en centro de Santiago tras conmemoración del golpe de Estado,Manuel Cabrera,69880,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/11/videos-muestran-saqueos-en-centro-de-santiago-tras-conmemoracion-del-golpe-de-estado.shtml
7,SuperPAN derrota a Superman: tradicional pyme chilena demandada por DC Comics gana juicio de marca,Christian Leal,15854,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/11/superpan-derrota-a-superman-tradicional-pyme-chilena-demandada-por-dc-comics-gana-juicio-de-marca.shtml
8,"RN dice que ruta constituyente no está en duda, pero no tiene que ser como le guste al Presidente",Jonathan Flores Belmar,55600,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/11/rn-dice-que-ruta-constituyente-no-esta-en-duda-pero-no-tiene-que-ser-como-le-guste-al-presidente.shtml
9,Investigan posible dateo en intento de robo con asesinato de conocido comerciante en Talcahuano,Paola Valenzuela,10291,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/11/investigan-posible-dateo-en-intento-de-robo-con-asesinato-de-conocido-comerciante-en-talcahuano.shtml
10,Tercer caso en 2 días: joven es asesinado tras intentar recuperar vehículo robado en Ovalle,Jonathan Flores Belmar,37043,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2022/09/11/tercer-caso-en-2-dias-joven-es-asesinado-tras-intentar-recuperar-vehiculo-robado-en-ovalle.shtml
11,Mil carabineros reforzarán la seguridad de la región de Los Lagos estas Fiestas Patrias,Paola Valenzuela,2760,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2022/09/11/mil-carabineros-reforzaran-la-seguridad-de-la-region-de-los-lagos-estas-fiestas-patrias.shtml
12,Incidentes frente a La Moneda y saqueos tras paso de romería en conmemoración del golpe de Estado,Jonathan Flores Belmar,21437,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/11/incidentes-frente-a-la-moneda-y-saqueos-tras-paso-de-romeria-en-conmemoracion-del-golpe-de-estado.shtml
13,Grave accidente camino a Caleta Lenga deja 7 lesionados y persona atrapada: Amanecieron tomando,Paola Valenzuela,32372,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/11/colision-a-alta-energia-deja-4-lesionados-y-una-persona-atrapada-camino-a-lenga-transito-suspendido.shtml
14,Covid-19: Minsal reporta caída de contagios de 40% ad portas de Fiestas Patrias,Jonathan Flores Belmar,7300,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/11/covid-19-minsal-reporta-caida-de-contagios-de-40-ad-portas-de-fiestas-patrias.shtml
15,Valparaíso: agrupaciones y autoridades conmemoran 29 años del fatal incendio en discoteque Divine,Paola Valenzuela,12150,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/11/valparaiso-agrupaciones-y-autoridades-conmemoran-29-anos-del-fatal-incendio-en-discoteque-divine.shtml
16,Boric conmemora 49 años del golpe y envía mensaje a sectores que dudan de seguir ruta constituyente,Jonathan Flores Belmar,42201,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/11/boric-conmemora-49-anos-del-golpe-y-envia-mensaje-a-sectores-que-dudan-de-seguir-ruta-constituyente.shtml
17,Nuevo asesinato tras riña en el Parque Almagro,Jonathan Flores Belmar,61720,"Domingo 11 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/11/nuevo-asesinato-tras-rina-en-el-parque-almagro.shtml
