,Headline,Autor,Visitas,Fecha,Link
0,11 de septiembre de 2022 deja 24 detenidos y grupo acumula 171 arrestos,Emilio Lara,1100,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/13/11-de-septiembre-de-2022-deja-24-detenidos-y-grupo-acumula-171-arrestos.shtml
1,Gobierno da a conocer mapa de 20 puntos críticos para elevar volantines en la región Metropolitana,Manuel Cabrera,1320,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/13/gobierno-da-a-conocer-mapa-de-20-puntos-criticos-para-elevar-volantines-en-la-region-metropolitana.shtml
2,"Arroz, avena y soya: diputados PPD-Independientes piden subsidio para controlar alza de alimentos",Jean Valencia,810,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/13/arroz-avena-y-soya-diputados-ppd-independientes-piden-subsidio-para-controlar-alza-de-alimentos.shtml
3,Revelan que funcionaria judicial entró a lugar donde fue hallada muerta abogada en motel de Quintero,Paola Valenzuela,22158,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/13/revelan-que-funcionaria-judicial-entro-a-lugar-donde-fue-hallada-muerta-abogada-en-motel-de-quintero.shtml
4,Cámara de Diputados aprueba pedir al Gobierno eliminar uso del pase de movilidad,Alberto González,7910,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/13/camara-de-diputados-aprueba-pedir-al-gobierno-eliminar-uso-del-pase-de-movilidad.shtml
5,Caso Tomás Bravo: Juzgado ordena a segundo sospechoso someterse a toma de muestra biológica,Manuel Stuardo,21000,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/13/caso-tomas-bravo-juzgado-ordena-a-segundo-sospechoso-someterse-a-toma-de-muestra-biologica.shtml
6,Serviu inicia demanda con vecinos de Los Ángeles tras mala calidad de obras de empresa constructora,María Jesús Vidal,2480,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/13/serviu-inicia-demanda-con-vecinos-de-los-angeles-tras-mala-calidad-de-obras-de-empresa-constructora.shtml
7,Anuncian extensión indefinida de operativo en contra del comercio ilegal en Plaza de Maipú,Manuel Cabrera,3990,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/13/anuncian-extension-indefinida-de-operativo-en-contra-del-comercio-ilegal-en-plaza-de-maipu.shtml
8,Realizan reconstitución de escena por balacera afuera de colegios en Valdivia: hay un detenido,Manuel Stuardo,3240,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2022/09/13/realizan-reconstitucion-de-escena-por-balacera-afuera-de-colegios-en-valdivia-hay-un-detenido.shtml
9,Vallejo descarta error por dichos sobre proceso constituyente: Parlamentarios son protagonistas,Alberto González,26600,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/13/vallejo-descarta-error-por-dichos-sobre-proceso-constituyente-parlamentarios-son-protagonistas.shtml
10,Fondo A lideró traspasos entre multifondos y una AFP registró pérdida de afiliados,Verónica Reyes,14673,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/economia/actualidad-economica/2022/09/13/fondo-a-lidera-traspasos-entre-multifondos-y-una-afp-continua-perdiendo-afiliados.shtml
11,Evacúan a pacientes de Urgencia y funcionarios del Hospital de Lota por fuerte olor a gas,Manuel Stuardo,14380,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/13/evacuan-a-pacientes-y-funcionarios-del-hospital-de-lota-por-fuga-de-gas.shtml
12,Gobierno destaca proyecto para combatir crimen organizado: Permite perseguir de manera más eficaz,Florencia Ortiz,11890,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/13/gobierno-presenta-proyecto-para-combatir-crimen-organizado-permite-perseguir-de-manera-mas-eficaz.shtml
13,BancoEstado reabre sucursal cercana a Plaza Baquedano que fue destruida en estallido social,Verónica Reyes,17480,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/economia/actualidad-economica/2022/09/13/bancoestado-reabre-sucursal-cercana-a-plaza-baquedano-que-fue-destruida-en-estallido-social.shtml
14,Sentencian a más de 15 años de cárcel a hombre que violó y abusó de dos menores en Llanquihue,María Jesús Vidal,18930,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-aysen/2022/09/13/sentencian-a-mas-de-15-anos-de-carcel-a-hombre-que-violo-y-abuso-de-dos-menores-en-llanquihue.shtml
15,Jadue se defiende tras ser acusado de pedir donación para adjudicar contrato de farmacias populares,Alberto González,65270,"Martes 13 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/13/jadue-se-defiende-tras-ser-acusado-de-pedir-donacion-para-adjudicar-contrato-de-farmacias-populares.shtml
