,Headline,Autor,Visitas,Fecha,Link
0,Cámara aprueba prórroga del Estado de Excepción en 4 provincias de la Macrozona Sur,Florencia Ortiz,1100,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/camara-aprueba-prorroga-del-estado-de-excepcion-en-4-provincias-de-la-macrozona-sur.shtml
1,¿Se venció tu cédula de identidad? Habilitan plataforma para renovar el documento en forma virtual,Florencia Ortiz,7690,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/se-vencio-tu-cedula-de-identidad-habilitan-plataforma-para-renovar-el-documento-en-forma-virtual.shtml
2,Reportan nuevo homicidio al interior de cárcel de Valdivia: reo de 21 años murió apuñalado,Paola Valenzuela,15760,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2022/09/12/reportan-nuevo-homicidio-al-interior-de-carcel-de-valdivia-reo-de-21-anos-murio-apunalado.shtml
3,Roban $30 millones en equipos de computación a liceo municipal de Tucapel: suspendieron las clases,Paola Valenzuela,2410,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/12/roban-30-millones-en-equipos-de-computacion-a-liceo-municipal-de-tucapel-suspendieron-las-clases.shtml
4,Tohá anuncia ajuste a Estado de Excepción para incluir protección de la vida como rol de las FFAA,Felipe Reyes,25800,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/toha-anuncia-ajuste-a-estado-de-excepcion-para-incluir-proteccion-de-la-vida-como-rol-de-las-ffaa.shtml
5,Baleado en El Bosque tiene 12 años: terminó herido en el rostro tras disparos entre bandas rivales,Florencia Ortiz,21870,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/12/baleado-en-el-bosque-tiene-12-anos-termino-herido-en-el-rostro-tras-disparos-entre-bandas-rivales.shtml
6,Casi 3 horas atrapados: Bomberos rescata a dos trabajadores desde construcción en Villa Alemana,Paola Valenzuela,7300,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/12/casi-3-horas-atrapados-bomberos-rescata-a-dos-trabajadores-desde-construccion-en-villa-alemana.shtml
7,Lagos se reúne con RN y apunta a borrador con puntos de encuentro antes de elegir a convencionales,Florencia Ortiz,17390,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/lagos-se-reune-con-rn-y-apunta-a-borrador-con-puntos-de-encuentro-antes-de-elegir-a-convencionales.shtml
8,Defensa de Héctor Llaitul solicita a la Corte Suprema la libertad inmediata del líder de la CAM,María Jesús Vidal,27350,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2022/09/12/defensa-de-hector-llaitul-solicita-a-la-corte-suprema-la-libertad-inmediata-del-lider-de-la-cam.shtml
9,Stingo asegura que el dinero invertido y la desidia del Gobierno determinaron triunfo del Rechazo,Jean Valencia,17473,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/stingo-asegura-que-el-dinero-invertido-y-la-desidia-del-gobierno-determinaron-triunfo-del-rechazo.shtml
10,Quería que nos dejaran vivos: nuevo asalto en caleta Lenga afecta a pareja durante fin de semana,Paola Valenzuela,31430,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/12/queria-que-nos-dejaran-vivos-nuevo-asalto-en-caleta-lenga-afecta-a-pareja-durante-fin-de-semana.shtml
11,Cada quien va a creer que tiene la razón: Vallejo y críticas de Stingo al Gobierno tras plebiscito,Florencia Ortiz,35350,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/cada-quien-va-a-creer-que-tiene-la-razon-vallejo-y-criticas-de-stingo-al-gobierno-tras-plebiscito.shtml
12,Video registra violenta riña que dejó a un hombre inconsciente en balneario de Puerto Montt,María Jesús Vidal,54620,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2022/09/12/video-registra-violenta-rina-que-dejo-a-un-hombre-inconsciente-en-balneario-de-puerto-montt.shtml
13,Familiares de jóvenes desaparecidos en Cobquecura realizan emotivo reencuentro en Iglesia de Piedra,Manuel Stuardo,42390,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-nuble/2022/09/12/familiares-de-jovenes-desaparecidos-en-cobquecura-realizan-emotivo-reencuentro-en-iglesia-de-piedra.shtml
14,Por falta de quórum: reagendan primer comité político ampliado presidido por Tohá en La Moneda,Florencia Ortiz,21740,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/chile/2022/09/12/por-falta-de-quorum-reagendan-primer-comite-politico-ampliado-presidido-por-toha-en-la-moneda.shtml
15,Teatro Municipal de Antofagasta cumple 40 años: conoce la historia de este icónico edificio cultural,Francisco Iturra,3100,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/artes-y-cultura/patrimonio/2022/09/12/teatro-municipal-de-antofagasta-cumple-41-anos-conoce-la-historia-de-este-iconico-edificio-cultural.shtml
16,Créditos caros y aumento en costo de materiales: venta de casas cae un 47% respecto a 2021 en Osorno,Paola Valenzuela,49260,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2022/09/12/creditos-caros-y-aumento-en-costo-de-materiales-venta-de-casas-cae-un-47-respecto-a-2021-en-osorno.shtml
17,Persona resulta baleada en la cabeza en enfrentamiento por operativo policial en El Bosque,Manuel Cabrera,22195,"Lunes 12 Septiembre, 2022",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/12/persona-resulta-baleada-en-la-cabeza-en-enfrentamiento-por-operativo-policial-en-el-bosque.shtml
