,Headline,Autor,Visitas,Date,Link
0,Entre pifias y abucheos: así fue la primera Parada Militar del Presidente Boric,Jonathan Flores Belmar,54545,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/entre-pifias-y-abucheos-asi-fue-la-primera-parada-militar-del-presidente-boric.shtml
1,Corte Suprema ordena a constructora pagar millonaria indemnización al Serviu tras obras en Coronel,Tamara Rojas,4759,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/19/corte-suprema-ordena-a-constructora-pagar-millonaria-indemnizacion-al-serviu-tras-obras-en-coronel.shtml
2,"Terremoto en México: emiten alerta de tsunami, pero SHOA descarta riesgo para Chile",Jonathan Flores Belmar,36815,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/terremoto-en-mexico-emiten-alerta-de-tsunami-pero-shoa-descarta-riesgo-para-chile.shtml
3,No duró ni una semana: rayan odeón de la Plaza Independencia a días de su reapertura en Concepción,Tamara Rojas,8878,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2022/09/19/no-duro-ni-una-semana-rayan-odeon-de-la-plaza-independencia-a-dias-de-su-reapertura-en-concepcion.shtml
4,Detienen a acusado de atacar con cuchillo a sujeto en Puerto Montt: tenía 26 arrestos anteriores,Tamara Rojas,1214,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2022/09/19/detienen-a-acusado-de-atacar-con-cuchillo-a-sujeto-en-puerto-montt-tenia-26-arrestos-anteriores.shtml
5,Desconocidos incendian 6 camiones de carnicería en Quilicura: grupo animalista se adjudica la acción,Tamara Rojas,17259,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/19/desconocidos-incendian-6-camiones-de-carniceria-en-quilicura-grupo-animalista-se-adjudica-la-accion.shtml
6,Canciller Urrejola se reúne con Presidente de Israel en Londres tras impasse de Boric con embajador,Jonathan Flores Belmar,17114,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/canciller-urrejola-se-reune-con-presidente-de-israel-en-londres-tras-impasse-de-boric-con-embajador.shtml
7,Vallejo por manifestaciones en Parada Militar: Faltaron el respeto a todas nuestras instituciones,Sandra Martínez Tapia,91055,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/vallejo-por-manifestaciones-en-parada-militar-faltaron-el-respeto-a-todas-nuestras-instituciones.shtml
8,Ingresan recurso de protección contra municipio de Valparaíso por acto de Las Indetectables,Sandra Martínez Tapia,6895,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/19/ingresan-recurso-de-proteccion-contra-municipio-de-valparaiso-por-acto-de-las-indetectables.shtml
9,Boric tras pifias durante Parada Militar: Yo mismo he sido parte de manifestaciones muchas veces,Matías Vega,110243,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/presidente-boric-tras-parada-militar-es-un-acto-que-enaltece-la-historia-de-la-patria.shtml
10,Encuentros con líderes mundiales y conmemoración a Allende marcarán gira de Boric en Nueva York,Sandra Martínez Tapia,15116,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/encuentros-con-lideres-mundiales-y-conmemoracion-a-allende-marcaran-gira-de-boric-a-nueva-york.shtml
11,Estos son los desvíos de tránsito vigentes en torno al Parque O’Higgins por la Parada Militar,Matías Vega,546,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/estos-son-los-desvios-de-transito-vigentes-en-torno-al-parque-ohiggins-por-la-parada-militar.shtml
12,Municipio de Valdivia aún no define cómo entregará vales de recargas de gas a precios más bajos,Sandra Martínez Tapia,294,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2022/09/19/municipio-de-valdivia-aun-no-define-como-entregara-vales-de-recargas-de-gas-a-precios-mas-bajos.shtml
13,General Iturriaga en Parada Militar: El Ejército ha sido valorado por la forma que hace sus tareas,Sandra Martínez Tapia,11591,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/19/general-javier-iturriaga-en-parada-militar-estamos-haciendo-lo-mejor-para-chile.shtml
14,Raúl Soto valora Parada Militar: El futuro del país debe ser construido entre todos,Sandra Martínez Tapia,1617,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2022/09/19/raul-soto-valora-parada-militar-el-futuro-del-pais-debe-ser-construido-entre-todos.shtml
15,Presidente Gabriel Boric encabeza la primera Parada Militar de su mandato,Matías Vega,12745,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/presidente-gabriel-boric-encabeza-la-primera-parada-militar-de-su-mandato.shtml
16,Presidente Boric viajará a Nueva York tras la Parada Militar para debutar con discurso ante la ONU,Matías Vega,13655,Lunes 2022-09-19,https://www.biobiochile.cl/noticias/nacional/chile/2022/09/19/presidente-boric-viajara-a-nueva-york-tras-la-parada-militar-para-debutar-con-discurso-ante-la-onu.shtml
