evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
20 km al SO de CamiÃ±a,-19.446,-69.555,2022-01-19,19:11:51,2022-01-19,22:11:51,93,km,2.9,Ml
44 km al SO de OllagÃ¼e,-21.518,-68.545,2022-01-19,19:02:24,2022-01-19,22:02:24,138,km,3.7,Ml
69 km al O de Lebu,-37.371,-74.38,2022-01-19,18:27:31,2022-01-19,21:27:31,41,km,4.8,Mw
72 km al SO de Tongoy,-30.691,-72.052,2022-01-19,11:58:09,2022-01-19,14:58:09,16,km,4.2,Mw
79 km al SO de Tongoy,-30.755,-72.074,2022-01-19,11:48:41,2022-01-19,14:48:41,16,km,2.7,Ml
74 km al SO de Tongoy,-30.705,-72.059,2022-01-19,11:45:50,2022-01-19,14:45:50,29,km,3.4,Ml
57 km al SO de Arica,-18.881,-70.661,2022-01-19,11:30:27,2022-01-19,14:30:27,30,km,2.8,Ml
76 km al SE de Alto del Carmen,-29.058,-69.784,2022-01-19,11:05:55,2022-01-19,14:05:55,114,km,2.8,Ml
45 km al NO de Antofagasta,-23.464,-70.803,2022-01-19,10:15:53,2022-01-19,13:15:53,30,km,3.9,Ml
81 km al S de Socaire,-24.311,-67.769,2022-01-19,09:47:21,2022-01-19,12:47:21,239,km,3.4,Ml
89 km al SE de Socaire,-24.036,-67.159,2022-01-19,07:13:30,2022-01-19,10:13:30,239,km,2.8,Ml
11 km al E de Pica,-20.514,-69.231,2022-01-19,05:21:12,2022-01-19,08:21:12,106,km,2.9,Ml
19 km al E de Pica,-20.465,-69.149,2022-01-19,03:42:10,2022-01-19,06:42:10,102,km,2.9,Ml
67 km al SO de Tierra Amarilla,-27.802,-70.838,2022-01-19,03:31:26,2022-01-19,06:31:26,44,km,3.2,Ml
28 km al NE de VichuquÃ©n,-34.767,-71.718,2022-01-19,01:37:16,2022-01-19,04:37:16,43,km,3.0,Ml
41 km al SE de Alto del Carmen,-29.099,-70.312,2022-01-19,01:32:18,2022-01-19,04:32:18,106,km,3.7,Ml
35 km al N de Tocopilla,-21.782,-70.182,2022-01-19,01:09:50,2022-01-19,04:09:50,66,km,3.2,Ml
60 km al O de Los Vilos,-31.802,-72.135,2022-01-19,01:02:41,2022-01-19,04:02:41,23,km,3.5,Ml
33 km al O de Canela Baja,-31.302,-71.787,2022-01-19,00:34:57,2022-01-19,03:34:57,32,km,3.0,Ml
62 km al SO de San Pedro de Atacama,-23.268,-68.669,2022-01-19,00:17:41,2022-01-19,03:17:41,109,km,2.6,Ml
80 km al E de Socaire,-23.832,-67.155,2022-01-19,00:13:08,2022-01-19,03:13:08,246,km,2.5,Ml
25 km al S de Mina La Escondida.,-24.493,-69.087,2022-01-18,23:41:50,2022-01-19,02:41:50,99,km,2.7,Ml
66 km al SE de Socaire,-24.11,-67.587,2022-01-18,23:31:09,2022-01-19,02:31:09,241,km,3.0,Ml
28 km al SO de Huasco,-28.62,-71.444,2022-01-18,23:26:58,2022-01-19,02:26:58,27,km,2.6,Ml
62 km al SO de Tocopilla,-22.492,-70.624,2022-01-18,23:19:36,2022-01-19,02:19:36,39,km,2.8,Ml
77 km al E de Socaire,-23.718,-67.149,2022-01-18,22:50:29,2022-01-19,01:50:29,244,km,3.9,Ml
49 km al O de Lonquimay,-38.603,-71.902,2022-01-18,21:31:54,2022-01-19,00:31:54,97,km,2.6,Ml
58 km al SO de San Pedro de Atacama,-23.394,-68.443,2022-01-18,21:28:15,2022-01-19,00:28:15,130,km,2.9,Ml
