evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
"48 km al NE de Base Frei, AntÃ¡rtica",-61.851,-58.423,2022-02-28,19:36:03,2022-02-28,22:36:03,8,km,2.9,Ml
13 km al NO de Visviri,-17.488,-69.527,2022-02-28,18:50:28,2022-02-28,21:50:28,160,km,2.6,Ml
67 km al SE de Socaire,-23.857,-67.296,2022-02-28,17:27:41,2022-02-28,20:27:41,239,km,2.6,Ml
59 km al S de Tierra Amarilla,-28.004,-70.361,2022-02-28,17:23:20,2022-02-28,20:23:20,70,km,2.6,Ml
44 km al SE de Socaire,-23.867,-67.575,2022-02-28,13:41:18,2022-02-28,16:41:18,282,km,2.6,Ml
67 km al NE de Pica,-20.038,-68.903,2022-02-28,12:09:05,2022-02-28,15:09:05,124,km,2.7,Ml
53 km al NO de Arauco,-36.981,-73.816,2022-02-28,10:16:09,2022-02-28,13:16:09,4,km,2.7,Ml
35 km al S de Los Vilos,-32.221,-71.585,2022-02-28,10:07:08,2022-02-28,13:07:08,59,km,2.8,Ml
43 km al NO de Arauco,-37.028,-73.721,2022-02-28,08:57:10,2022-02-28,11:57:10,8,km,2.9,Ml
45 km al N de Lebu,-37.21,-73.737,2022-02-28,08:55:19,2022-02-28,11:55:19,23,km,3.5,Ml
59 km al O de ValparaÃ­so,-32.882,-72.219,2022-02-28,07:58:09,2022-02-28,10:58:09,54,km,3.6,Ml
130 km al O de Tongoy,-30.276,-72.852,2022-02-28,07:45:29,2022-02-28,10:45:29,26,km,2.7,Ml
77 km al SE de Socaire,-24.194,-67.528,2022-02-28,06:48:31,2022-02-28,09:48:31,206,km,2.6,Ml
50 km al O de Arauco,-37.041,-73.821,2022-02-28,05:34:38,2022-02-28,08:34:38,37,km,2.6,Ml
47 km al NE de Calama,-22.103,-68.699,2022-02-28,04:12:32,2022-02-28,07:12:32,120,km,2.6,Ml
79 km al SE de Socaire,-24.209,-67.508,2022-02-28,03:50:17,2022-02-28,06:50:17,217,km,3.3,Ml
75 km al NO de Lebu,-37.053,-74.136,2022-02-28,03:49:25,2022-02-28,06:49:25,29,km,3.5,Ml
50 km al N de Lebu,-37.169,-73.766,2022-02-28,03:41:01,2022-02-28,06:41:01,28,km,3.3,Ml
80 km al NO de Lebu,-36.969,-74.072,2022-02-28,03:14:54,2022-02-28,06:14:54,39,km,3.0,Ml
94 km al NO de Lebu,-36.954,-74.335,2022-02-28,01:57:33,2022-02-28,04:57:33,20,km,3.9,Ml
77 km al S de OllagÃ¼e,-21.88,-68.484,2022-02-28,01:18:06,2022-02-28,04:18:06,144,km,4.3,Ml
61 km al NO de Arauco,-36.933,-73.881,2022-02-28,01:11:01,2022-02-28,04:11:01,13,km,3.1,Ml
61 km al O de Arauco,-37.002,-73.934,2022-02-27,22:52:51,2022-02-28,01:52:51,34,km,4.5,Mw
72 km al NO de Arauco,-36.878,-73.989,2022-02-27,22:43:11,2022-02-28,01:43:11,31,km,3.5,Ml
87 km al NO de Lebu,-36.936,-74.149,2022-02-27,22:15:15,2022-02-28,01:15:15,33,km,5.7,Mww
16 km al NO de Lota,-36.963,-73.216,2022-02-27,22:10:09,2022-02-28,01:10:09,12,km,3.2,Ml
65 km al O de ValparaÃ­so,-32.925,-72.301,2022-02-27,22:07:37,2022-02-28,01:07:37,59,km,3.1,Ml
78 km al O de ValparaÃ­so,-32.864,-72.418,2022-02-27,21:30:28,2022-02-28,00:30:28,29,km,3.0,Ml
75 km al E de Socaire,-23.328,-67.208,2022-02-27,21:24:39,2022-02-28,00:24:39,243,km,3.2,Ml
53 km al NE de Calama,-22.043,-68.692,2022-02-27,21:18:17,2022-02-28,00:18:17,107,km,2.5,Ml
