evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
39 km al NE de Calama,-22.235 ,-68.655,2022-08-20,18:45:27,2022-08-20,22:45:27,115,km,2.7,Ml
36 km al S de Alto del Carmen,-29.082 ,-70.552,2022-08-20,18:35:41,2022-08-20,22:35:41,94,km,2.8,Ml
60 km al NO de Lebu,-37.198 ,-74.091,2022-08-20,17:52:49,2022-08-20,21:52:49,41,km,3.1,Ml
7 km al SO de Mina Los Pelambres,-31.879 ,-70.615,2022-08-20,17:15:48,2022-08-20,21:15:48,100,km,3.9,Ml
23 km al SO de Pichilemu,-34.554 ,-72.158,2022-08-20,16:06:04,2022-08-20,20:06:04,13,km,3.0,Ml
18 km al NO de Andacollo,-30.096 ,-71.196,2022-08-20,15:50:00,2022-08-20,19:50:00,72,km,4.3,Ml
76 km al SE de Socaire,-24.150 ,-67.463,2022-08-20,12:48:34,2022-08-20,16:48:34,225,km,4.4,Mw
32 km al NO de Mina Collahuasi,-20.707 ,-68.935,2022-08-20,09:31:37,2022-08-20,13:31:37,95,km,2.9,Ml
38 km al NE de Iquique,-19.899 ,-70.011,2022-08-20,07:51:41,2022-08-20,11:51:41,49,km,3.5,Ml
41 km al S de Mina Collahuasi,-21.191 ,-68.673,2022-08-20,05:10:00,2022-08-20,09:10:00,136,km,3.6,Ml
30 km al S de Punitaqui,-31.092 ,-71.345,2022-08-20,03:17:10,2022-08-20,07:17:10,43,km,2.5,Ml
28 km al E de Calama,-22.495 ,-68.656,2022-08-20,02:51:46,2022-08-20,06:51:46,112,km,2.5,Ml
26 km al O de Los Vilos,-31.820 ,-71.767,2022-08-19,22:10:40,2022-08-20,02:10:40,38,km,2.7,Ml
34 km al NE de Calama,-22.306 ,-68.652,2022-08-19,21:17:57,2022-08-20,01:17:57,120,km,3.5,Ml
