evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al NO de Punitaqui,-30.667 ,-71.604,2022-08-28,19:45:44,2022-08-28,23:45:44,29,km,3.7,Ml
23 km al O de Panguipulli,-39.659 ,-72.592,2022-08-28,19:42:09,2022-08-28,23:42:09,76,km,3.1,Ml
17 km al NO de Los Vilos,-31.774 ,-71.599,2022-08-28,18:15:51,2022-08-28,22:15:51,33,km,3.0,Ml
55 km al S de Putre,-18.690 ,-69.487,2022-08-28,17:24:52,2022-08-28,21:24:52,116,km,2.9,Ml
36 km al O de Canela Baja,-31.299 ,-71.815,2022-08-28,16:02:01,2022-08-28,20:02:01,15,km,3.3,Ml
15 km al O de Canela Baja,-31.405 ,-71.618,2022-08-28,13:42:21,2022-08-28,17:42:21,43,km,2.8,Ml
39 km al SO de Huasco,-28.738 ,-71.479,2022-08-28,11:02:20,2022-08-28,15:02:20,15,km,2.9,Ml
45 km al NO de Quillagua,-21.295 ,-69.716,2022-08-28,10:44:00,2022-08-28,14:44:00,51,km,2.7,Ml
45 km al SO de Mina Collahuasi,-21.131 ,-68.941,2022-08-28,10:24:09,2022-08-28,14:24:09,114,km,3.1,Ml
38 km al O de OllagÃ¼e,-21.285 ,-68.614,2022-08-28,09:47:37,2022-08-28,13:47:37,126,km,3.0,Ml
25 km al S de Calama,-22.684 ,-68.850,2022-08-28,09:11:44,2022-08-28,13:11:44,104,km,3.4,Ml
48 km al N de Mejillones,-22.676 ,-70.544,2022-08-28,05:06:02,2022-08-28,09:06:02,24,km,2.9,Ml
37 km al O de Mina Collahuasi,-20.925 ,-68.997,2022-08-28,04:47:41,2022-08-28,08:47:41,110,km,3.1,Ml
40 km al NO de Punitaqui,-30.647 ,-71.623,2022-08-28,04:07:06,2022-08-28,08:07:06,34,km,3.4,Ml
28 km al SE de VichuquÃ©n,-35.117 ,-71.881,2022-08-28,02:13:43,2022-08-28,06:13:43,45,km,4.7,Ml
13 km al SE de MarÃ­a Elena,-22.411 ,-69.560,2022-08-28,00:08:30,2022-08-28,04:08:30,71,km,3.3,Ml
52 km al NE de Cuya,-18.879 ,-69.780,2022-08-27,23:54:36,2022-08-28,03:54:36,91,km,4.3,Ml
36 km al S de Mina Collahuasi,-21.152 ,-68.656,2022-08-27,23:17:40,2022-08-28,03:17:40,122,km,3.2,Ml
143 km al SO de TirÃºa,-39.090 ,-74.837,2022-08-27,23:03:09,2022-08-28,03:03:09,15,km,3.5,Ml
35 km al S de Mina Collahuasi,-21.131 ,-68.760,2022-08-27,22:31:07,2022-08-28,02:31:07,115,km,3.5,Ml
54 km al O de Los Vilos,-31.755 ,-72.047,2022-08-27,21:39:35,2022-08-28,01:39:35,49,km,3.4,Ml
