evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
50 km al SO de Mina La Escondida.,-24.649,-69.316,2022-02-08,14:08:32,2022-02-08,17:08:32,96,km,3.0,Ml
12 km al N de CamiÃ±a,-19.213,-69.398,2022-02-08,12:46:07,2022-02-08,15:46:07,96,km,2.6,Ml
124 km al O de Iquique,-20.233,-71.344,2022-02-08,12:28:44,2022-02-08,15:28:44,21,km,3.0,Ml
57 km al E de Quillagua,-21.659,-68.982,2022-02-08,11:42:23,2022-02-08,14:42:23,97,km,3.0,Ml
38 km al O de San Pedro de Atacama,-22.784,-68.536,2022-02-08,08:50:46,2022-02-08,11:50:46,16,km,3.6,Ml
14 km al O de La Higuera,-29.517,-71.349,2022-02-08,08:05:19,2022-02-08,11:05:19,63,km,3.2,Ml
87 km al SE de Socaire,-24.034,-67.191,2022-02-08,07:20:10,2022-02-08,10:20:10,245,km,3.5,Ml
43 km al NE de Calama,-22.17,-68.673,2022-02-08,04:17:38,2022-02-08,07:17:38,114,km,3.6,Ml
44 km al S de Taltal,-25.796,-70.575,2022-02-08,02:22:14,2022-02-08,05:22:14,64,km,4.4,Mw
57 km al O de La Ligua,-32.468,-71.839,2022-02-08,00:14:52,2022-02-08,03:14:52,44,km,2.8,Ml
11 km al SE de Huasco,-28.547,-71.16,2022-02-07,23:30:58,2022-02-08,02:30:58,41,km,3.4,Ml
23 km al NO de Huasco,-28.297,-71.349,2022-02-07,22:05:30,2022-02-08,01:05:30,35,km,3.0,Ml
"48 km al NE de Base Frei, AntÃ¡rtica",-61.851,-58.423,2022-02-28,19:36:03,2022-02-28,22:36:03,8,km,2.9,Ml
13 km al NO de Visviri,-17.488,-69.527,2022-02-28,18:50:28,2022-02-28,21:50:28,160,km,2.6,Ml
67 km al SE de Socaire,-23.857,-67.296,2022-02-28,17:27:41,2022-02-28,20:27:41,239,km,2.6,Ml
59 km al S de Tierra Amarilla,-28.004,-70.361,2022-02-28,17:23:20,2022-02-28,20:23:20,70,km,2.6,Ml
44 km al SE de Socaire,-23.867,-67.575,2022-02-28,13:41:18,2022-02-28,16:41:18,282,km,2.6,Ml
67 km al NE de Pica,-20.038,-68.903,2022-02-28,12:09:05,2022-02-28,15:09:05,124,km,2.7,Ml
53 km al NO de Arauco,-36.981,-73.816,2022-02-28,10:16:09,2022-02-28,13:16:09,4,km,2.7,Ml
35 km al S de Los Vilos,-32.221,-71.585,2022-02-28,10:07:08,2022-02-28,13:07:08,59,km,2.8,Ml
43 km al NO de Arauco,-37.028,-73.721,2022-02-28,08:57:10,2022-02-28,11:57:10,8,km,2.9,Ml
45 km al N de Lebu,-37.21,-73.737,2022-02-28,08:55:19,2022-02-28,11:55:19,23,km,3.5,Ml
59 km al O de ValparaÃ­so,-32.882,-72.219,2022-02-28,07:58:09,2022-02-28,10:58:09,54,km,3.6,Ml
130 km al O de Tongoy,-30.276,-72.852,2022-02-28,07:45:29,2022-02-28,10:45:29,26,km,2.7,Ml
77 km al SE de Socaire,-24.194,-67.528,2022-02-28,06:48:31,2022-02-28,09:48:31,206,km,2.6,Ml
50 km al O de Arauco,-37.041,-73.821,2022-02-28,05:34:38,2022-02-28,08:34:38,37,km,2.6,Ml
47 km al NE de Calama,-22.103,-68.699,2022-02-28,04:12:32,2022-02-28,07:12:32,120,km,2.6,Ml
79 km al SE de Socaire,-24.209,-67.508,2022-02-28,03:50:17,2022-02-28,06:50:17,217,km,3.3,Ml
75 km al NO de Lebu,-37.053,-74.136,2022-02-28,03:49:25,2022-02-28,06:49:25,29,km,3.5,Ml
50 km al N de Lebu,-37.169,-73.766,2022-02-28,03:41:01,2022-02-28,06:41:01,28,km,3.3,Ml
80 km al NO de Lebu,-36.969,-74.072,2022-02-28,03:14:54,2022-02-28,06:14:54,39,km,3.0,Ml
94 km al NO de Lebu,-36.954,-74.335,2022-02-28,01:57:33,2022-02-28,04:57:33,20,km,3.9,Ml
77 km al S de OllagÃ¼e,-21.88,-68.484,2022-02-28,01:18:06,2022-02-28,04:18:06,144,km,4.3,Ml
61 km al NO de Arauco,-36.933,-73.881,2022-02-28,01:11:01,2022-02-28,04:11:01,13,km,3.1,Ml
61 km al O de Arauco,-37.002,-73.934,2022-02-27,22:52:51,2022-02-28,01:52:51,34,km,4.5,Mw
72 km al NO de Arauco,-36.878,-73.989,2022-02-27,22:43:11,2022-02-28,01:43:11,31,km,3.5,Ml
87 km al NO de Lebu,-36.936,-74.149,2022-02-27,22:15:15,2022-02-28,01:15:15,33,km,5.7,Mww
16 km al NO de Lota,-36.963,-73.216,2022-02-27,22:10:09,2022-02-28,01:10:09,12,km,3.2,Ml
65 km al O de ValparaÃ­so,-32.925,-72.301,2022-02-27,22:07:37,2022-02-28,01:07:37,59,km,3.1,Ml
78 km al O de ValparaÃ­so,-32.864,-72.418,2022-02-27,21:30:28,2022-02-28,00:30:28,29,km,3.0,Ml
75 km al E de Socaire,-23.328,-67.208,2022-02-27,21:24:39,2022-02-28,00:24:39,243,km,3.2,Ml
53 km al NE de Calama,-22.043,-68.692,2022-02-27,21:18:17,2022-02-28,00:18:17,107,km,2.5,Ml
32 km al O de OllagÃ¼e,-21.305,-68.554,2022-02-15,19:48:40,2022-02-15,22:48:40,119,km,2.8,Ml
44 km al SO de Socaire,-23.896,-68.158,2022-02-15,19:00:35,2022-02-15,22:00:35,151,km,3.5,Ml
34 km al SO de Vallenar,-28.817,-70.971,2022-02-15,15:47:16,2022-02-15,18:47:16,56,km,3.2,Ml
43 km al NE de Calama,-22.226,-68.61,2022-02-15,14:31:12,2022-02-15,17:31:12,119,km,2.5,Ml
22 km al E de Talca,-35.439,-71.425,2022-02-15,14:20:28,2022-02-15,17:20:28,81,km,2.7,Ml
42 km al SO de OllagÃ¼e,-21.384,-68.622,2022-02-15,09:14:29,2022-02-15,12:14:29,129,km,2.9,Ml
45 km al S de Socaire,-23.994,-67.881,2022-02-15,07:47:28,2022-02-15,10:47:28,191,km,2.9,Ml
48 km al SE de CamiÃ±a,-19.667,-69.164,2022-02-15,05:35:50,2022-02-15,08:35:50,96,km,2.8,Ml
70 km al SE de Socaire,-24.158,-67.588,2022-02-15,05:27:38,2022-02-15,08:27:38,241,km,2.5,Ml
26 km al SO de Los Vilos,-32.098,-71.669,2022-02-15,02:26:02,2022-02-15,05:26:02,31,km,3.3,Ml
21 km al NE de Yungay,-36.975,-71.869,2022-02-15,01:55:29,2022-02-15,04:55:29,110,km,3.8,Ml
53 km al NE de Mejillones,-22.762,-70.084,2022-02-15,00:40:30,2022-02-15,03:40:30,49,km,3.6,Ml
21 km al SO de Huasco,-28.578,-71.395,2022-02-14,23:14:44,2022-02-15,02:14:44,29,km,2.9,Ml
63 km al N de Huasco,-27.903,-71.252,2022-02-14,21:51:04,2022-02-15,00:51:04,34,km,2.7,Ml
"33 km al E de Base Frei, AntÃ¡rtica",-62.273,-58.352,2022-02-05,20:08:56,2022-02-05,23:08:56,5,km,2.6,Ml
83 km al E de Socaire,-23.887,-67.14,2022-02-05,18:53:03,2022-02-05,21:53:03,232,km,3.3,Ml
