,news,polaridad,subjetividad
0,Huntsman stock sinks toward 13-month low after J.P. Morgan analyst recommends selling,-0.05,0.15
1,4 reasons you should buy energy stocks right now if you are a long-term investor,0.2857142857142857,0.5357142857142857
2,Change Healthcare's stock is up after judge rules in favor of UnitedHealth acquisition,0.0,0.0
3,"UPDATE 1-Russian stocks plunge on martial law fears, Ukraine referendums",0.0,0.0
4,GLOBAL MARKETS-Swedish rate hike jolts stocks as Wall Street turns to Fed,0.0,0.0
5,This could be the missing link as to why September — yet again — is hitting stocks hard,-0.24583333333333335,0.29583333333333334
6,Ouster stock bounces off record low after cost-cutting plan that includes 10% workforce reduction,0.0,0.3
7,The Fed is not the stock market’s friend right now: Morning Brief,0.14285714285714285,0.43452380952380953
8,South Korea plans reforms to tackle 'Korea discount' for its stocks,0.0,0.0
9,Swedish rate hike jolts stocks as Wall Street turns to Fed,0.0,0.0
10,"Ford stock drops more than 4% as supply costs to jump by $1 billion, parts shortages to leave more cars unfinished",0.5,0.5
11,Comstock Resources (CRK) Gains But Lags Market: What You Should Know,0.0,0.0
