Date;Price;Open;High;Low;Vol;ChangePercent
2022-09-13;2200.0;2210.0;2250.0;2180.0;4.79M;-0.9
2022-09-12;2220.0;2150.1;2250.0;2150.1;5.43M;0.91
2022-09-09;2200.0;2150.0;2200.0;2150.0;10.26M;0.5
2022-09-08;2189.0;2200.2;2206.0;2140.0;1.82M;-0.5
2022-09-07;2200.0;2247.0;2247.0;2180.0;13.34M;-1.12
2022-09-06;2225.0;2331.0;2354.3;2162.0;3.15M;-4.3
2022-09-05;2325.0;2507.0;2598.0;2315.0;4.14M;-3.08
2022-09-02;2398.9;2223.2;2398.9;2200.1;5.84M;9.04
2022-09-01;2200.0;2110.0;2200.0;2055.1;5.79M;4.17
2022-08-31;2112.0;2169.9;2220.0;2100.0;9.14M;-4.0
2022-08-30;2200.0;2170.0;2219.8;2140.0;4.36M;1.85
2022-08-29;2160.0;2120.0;2169.0;2120.0;6.91M;1.81
2022-08-26;2121.5;2100.1;2189.0;2100.1;2.81M;1.02
2022-08-25;2100.0;2010.7;2122.1;2010.7;1.35M;3.4
2022-08-24;2031.0;2040.1;2060.0;2010.0;4.48M;-0.68
2022-08-23;2045.0;2032.0;2090.0;2032.0;5.80M;0.63
2022-08-22;2032.2;2009.9;2058.0;1992.0;26.73M;1.1
2022-08-19;2010.0;1998.0;2010.0;1968.0;1.27M;0.5
2022-08-18;2000.0;1995.9;2020.0;1995.0;3.59M;0.25
2022-08-17;1995.0;2000.0;2021.7;1988.0;7.27M;-0.1
2022-08-16;1997.0;2006.1;2022.7;1981.1;1.67M;-0.46
2022-08-12;2006.2;1993.0;2039.0;1975.0;2.75M;0.86
2022-08-11;1989.0;1960.0;2000.0;1950.1;1.82M;0.96
2022-08-10;1970.0;1933.9;1980.0;1933.0;1.59M;2.06
2022-08-09;1930.2;1949.9;1965.0;1930.2;1.36M;-1.02
2022-08-08;1950.0;1950.1;1975.0;1922.0;1.20M;0.26
2022-08-05;1945.0;1928.0;1955.0;1800.0;2.87M;0.5
2022-08-04;1935.3;1964.0;1968.0;1922.0;3.88M;-1.96
2022-08-03;1974.0;1985.9;1988.9;1951.0;2.79M;-1.3
2022-08-02;2000.0;1992.1;2000.1;1980.0;4.24M;0.52
2022-08-01;1989.7;1985.3;2006.5;1969.9;9.56M;-1.01
2022-07-29;2010.0;1999.0;2019.0;1960.0;7.73M;0.55
2022-07-28;1999.0;2015.9;2065.0;1955.0;9.71M;-1.52
2022-07-27;2029.9;2044.0;2057.0;2007.0;1.32M;-0.5
2022-07-26;2040.1;2020.0;2044.0;1991.0;4.54M;2.0
2022-07-25;2000.0;2000.0;2007.0;1961.0;1.60M;1.06
2022-07-22;1979.0;1980.0;1990.0;1960.1;2.69M;0.97
2022-07-21;1960.0;1914.0;1978.0;1875.2;2.31M;2.4
2022-07-20;1914.0;1964.4;1979.0;1914.0;3.49M;-2.6
2022-07-19;1965.0;1966.0;1966.2;1920.0;3.26M;1.81
2022-07-18;1930.0;1910.1;1954.9;1910.1;3.67M;1.15
2022-07-15;1908.0;1880.0;1937.9;1825.0;6.85M;2.58
2022-07-14;1860.0;1920.0;1939.8;1831.1;5.93M;-4.22
2022-07-13;1942.0;1968.0;1968.0;1925.9;1.84M;-1.67
