,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3
0,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI ,VALDES SILVA MAGGI ,2015-04-13 00:00:00,, ,VALDES,SILVA,
1,PRIMERA,  VALDÉS,  MAGGI  FUENTES  ,MAGGI FUENTES CORREA FIGUEROA ,2015-04-16 00:00:00,,  CORREA  FIGUEROA ,MAGGI,FUENTES,
2,PRIMERA,  VALDES,  SILVA  MAGGI ,SILVA MAGGI GÓMEZ,2015-04-02 00:00:00,FUENTES,   GÓMEZ,SILVA,MAGGI,
3,PRIMERA,  SEGURA,  VALDÉS SILVA  MAGGI  ,VALDÉS SILVA MAGGI  FIGUEROA,2015-04-14 00:00:00,,   FIGUEROA,VALDÉS,SILVA,
5,PRIMERA,  VALDES,,,2015-04-21 00:00:00,, ,,,
8,PRIMERA,  VALDES,  SILVA  MAGGI  FUENTES,SILVA MAGGI FUENTES GOMEZ,2015-04-15 00:00:00,,   GOMEZ,SILVA,MAGGI,
13,PRIMERA,  VALDES |,  CARREÑO SILVA  MAGGI ,CARREÑO SILVA MAGGI PEÑAILILLO,2015-04-22 00:00:00,,   PEÑAILILLO,CARREÑO,SILVA,
18,PRIMERA,  VALDEÉS,  CARREÑO SILVA  MAGGI ,CARREÑO SILVA MAGGI ,2015-04-23 00:00:00,, ,CARREÑO,SILVA,
26,PRIMERA,"  KUNSEMULLER,",  BRITO CISTERNAS  ,BRITO CISTERNAS PEÑAILILLO FIGUEROA ,2015-04-27 00:00:00,,  PEÑAILILLO  FIGUEROA ,BRITO,CISTERNAS,
31,PRIMERA,  VALDES,  SILVA ARANGUIZ  ,SILVA ARANGUIZ PEÑAILILLO FIGUEROA ,2015-04-28 00:00:00,,  PEÑAILILLO  FIGUEROA ,SILVA,ARANGUIZ,
36,PRIMERA,  VALDES,  CARREÑO SILVA SRÑORA MAGGI ,CARREÑO SILVA SRÑORA MAGGI FIGUEROA,2015-04-29 00:00:00,,   FIGUEROA,CARREÑO,SILVA,
46,PRIMERA,  VALDÉS, —  MAGGI  FUENTES,— MAGGI FUENTES FIGUEROA,2015-04-30 00:00:00,,   FIGUEROA,—,MAGGI,
55,PRIMERA,  VALDÉS,  MAGGI  FUENTES  ,MAGGI FUENTES GOMEZ PRADO ,2015-04-09 00:00:00,,  GOMEZ  PRADO ,MAGGI,FUENTES,
65,PRIMERA,  SEGURA,  VALDÉS SILVA SEEÑORA MAGGI ,VALDÉS SILVA SEEÑORA MAGGI ,2015-04-08 00:00:00,, ,VALDÉS,SILVA,
