,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
0,PRIMERA,2020-12-22,AEGNEM,FUENTES,PRADO,MU,PALLAVICINI
1,PRIMERA,2020-01-15,AMAGGI,AEGNEM,FUENTES,AR,PRADO
2,PRIMERA,2020-01-28,AEGNEM,FUENTES,PRADO,MUNITA,PALLAVICINI
4,PRIMERA,2020-01-10,AMAGGI,AEGNEM,AR,MUNITA,
5,PRIMERA,2020-01-14,AMAGGI,AEGNEM,FUENTES,AR,PRADO
8,PRIMERA,2020-01-16,AMAGGI,AEGNEM,FUENTES,PEÑAILILLO,MUNITA
10,PRIMERA,2020-01-13,AMAGGI,AEGNEM,FUENTES,AR,PRADO
18,PRIMERA,2020-01-20,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
25,PRIMERA,2020-01-21,AMAGGI,FUENTES,ARANGUIZ,PRADO,GOMEZ
33,PRIMERA,2020-01-22,KÜNSEM,AMAGGI,ARANGUIZ,MUNITA,GOMEZ
43,PRIMERA,2020-01-23,AMAGGI,AEGNEM,ARANGUIZ,PRADO,MUNITA
52,PRIMERA,2020-01-24,AMAGGI,AEGNEM,PRADO,MUNITA,GOMEZ
61,PRIMERA,2020-01-27,AEGNEM,PRADO,MU,MUNITA,GOMEZ
84,PRIMERA,2020-01-29,FUENTES,ACHEVESICH,ARANGUIZ,AMU,PRADO
101,PRIMERA,2020-01-30,AEGNEM,FUENTES,ARANGUIZ,AETCHEBERRY,GOMEZ
102,PRIMERA,2020-01-09,AMAGGI,AEGNEM,AR,AETCHEBERRY,
118,PRIMERA,2020-01-08,AMAGGI,AEGNEM,AR,AETCHEBERRY,
134,PRIMERA,2020-01-07,AMAGGI,AEGNEM,FUENTES,AR,LAGOS
146,PRIMERA,2020-01-06,AMAGGI,AEGNEM,FUENTES,AR,GÓMEZ
159,PRIMERA,2020-01-03,SILVA,AEGNEM,FUENTES,PRADO,ABUAUAD
162,PRIMERA,2020-02-10,ARANGUIZ,PRADO,BIEL,MERA,BARRA
166,PRIMERA,2020-02-11,AMAGGI,ARANGUIZ,PRADO,BIEL,MERA
168,PRIMERA,2020-02-12,AMAGGI,ARANGUIZ,PRADO,BIEL,MERA
172,PRIMERA,2020-02-13,AMAGGI,PRADO,BIEL,MERA,PALLAVICINI
177,PRIMERA,2020-02-14,AMAGGI,PRADO,BIEL,MERA,PALLAVICINI
181,PRIMERA,2020-02-17,AMAGGI,ARANGUIZ,PRADO,BIEL,MERA
191,PRIMERA,2020-02-19,AMAGGI,PRADO,BIEL,MUNITA,PALLAVICINI
197,PRIMERA,2020-02-20,AMAGGI,AEGNEM,A,BIEL,PALLAVICINI
203,PRIMERA,2020-02-18,AMAGGI,PRADO,BIEL,, MU
205,PRIMERA,2020-02-21,AMAGGI,AEGNEM,BIEL,AETCHEBERRY,
215,PRIMERA,2020-02-24,AEGNEM,PRADO,BIEL,MUNITA,
225,PRIMERA,2020-02-25,AEGNEM,PRADO,BIEL,MUNITA,
238,PRIMERA,2020-02-26,AEGNEM,PRADO,MU,LAGOS,
