,Fecha,Sala,Presidente,Ministros,Integrantes,Causa
0,[' a diez de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑORES SILVA, CERDA y Los ABOGADOS'], []]","[[' SEÑORES LAGOS y FIGUEROA.'], []]","['comisión', 'permiso']"
1,[' a quince de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑOR SILVA, sEÑORa MAGGI y Los ABOGADOS'], []]","[[' SEÑORES PEÑAILILLO y MATUS.'], []]","['permiso', 'feriado']"
2,[' a diecisiete de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑOR SILVA, señoras MAGGI, sEÑoRr'], []]","[[], [' ASEÑORA']]",['feriado']
3,[' a diecisiete de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑOR SILVA, señoras MAGGI, sEÑoRr'], []]","[[], [' ASEÑORA']]",['feriado']
4,[' a diez de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑORES SILVA, CERDA y Los ABOGADOS'], []]","[[' SEÑORES LAGOS y FIGUEROA.'], []]","['comisión', 'permiso']"
5,[' a once de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR SILVA.'],"[[' SEÑORA CHEVESICH, señor VALDERRAMA y'], []]","[[' SEÑORES QUINTANILLA y'], []]","['permiso', 'feriado']"
6,[' a diecisiete de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑOR SILVA, señoras MAGGI, sEÑoRr'], []]","[[], [' ASEÑORA']]",['feriado']
7,[' a dieciocho de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑOR SILVA, sEÑoRA MAGGI, seÑñor FUENTES'], ['']]","[[], [' SEÑOR PEÑAILILLO.']]",['feriado']
8,[' a diez de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑORES SILVA, CERDA y Los ABOGADOS'], []]","[[' SEÑORES LAGOS y FIGUEROA.'], []]","['comisión', 'permiso']"
9,[' a dieciocho de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑOR SILVA, sEÑoRA MAGGI, seÑñor FUENTES'], ['']]","[[], [' SEÑOR PEÑAILILLO.']]",['feriado']
10,[' a diez de enero de dos mil dieciocho'],PRIMERA,[' SEÑOR CARREÑO.'],"[[' SEÑORES SILVA, CERDA y Los ABOGADOS'], []]","[[' SEÑORES LAGOS y FIGUEROA.'], []]","['comisión', 'permiso']"
