,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
0,PRIMERA,2020-01-10,AMAGGI,AEGNEM,AR,MUNITA,
1,PRIMERA,2020-01-14,AMAGGI,AEGNEM,FUENTES,AR,PRADO
2,PRIMERA,2020-01-08,AMAGGI,AEGNEM,AR,AETCHEBERRY,
3,PRIMERA,2020-01-15,AMAGGI,AEGNEM,FUENTES,AR,PRADO
5,PRIMERA,2020-01-13,AMAGGI,AEGNEM,FUENTES,AR,PRADO
8,PRIMERA,2020-01-16,AMAGGI,AEGNEM,FUENTES,PEÑAILILLO,MUNITA
20,PRIMERA,2020-01-20,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
26,PRIMERA,2020-01-21,AMAGGI,FUENTES,ARANGUIZ,PRADO,GOMEZ
32,PRIMERA,2020-01-22,KÜNSEM,AMAGGI,ARANGUIZ,MUNITA,GOMEZ
36,PRIMERA,2020-01-23,AMAGGI,AEGNEM,ARANGUIZ,PRADO,MUNITA
47,PRIMERA,2020-01-24,AMAGGI,AEGNEM,PRADO,MUNITA,GOMEZ
53,PRIMERA,2020-01-27,AEGNEM,PRADO,MU,MUNITA,GOMEZ
63,PRIMERA,2020-01-28,AEGNEM,FUENTES,PRADO,MUNITA,PALLAVICINI
72,PRIMERA,2020-01-29,FUENTES,ACHEVESICH,ARANGUIZ,AMU,PRADO
81,PRIMERA,2020-01-30,AEGNEM,FUENTES,ARANGUIZ,AETCHEBERRY,GOMEZ
91,PRIMERA,2020-01-09,AMAGGI,AEGNEM,AR,AETCHEBERRY,
111,PRIMERA,2020-01-07,AMAGGI,AEGNEM,FUENTES,AR,LAGOS
127,PRIMERA,2020-01-06,AMAGGI,AEGNEM,FUENTES,AR,GÓMEZ
144,PRIMERA,2020-01-03,SILVA,AEGNEM,FUENTES,PRADO,ABUAUAD
147,PRIMERA,2020-02-10,ARANGUIZ,PRADO,BIEL,MERA,BARRA
150,PRIMERA,2020-02-11,AMAGGI,ARANGUIZ,PRADO,BIEL,MERA
154,PRIMERA,2020-02-12,AMAGGI,ARANGUIZ,PRADO,BIEL,MERA
157,PRIMERA,2020-02-13,AMAGGI,PRADO,BIEL,MERA,PALLAVICINI
164,PRIMERA,2020-02-14,AMAGGI,PRADO,BIEL,MERA,PALLAVICINI
171,PRIMERA,2020-02-17,AMAGGI,ARANGUIZ,PRADO,BIEL,MERA
181,PRIMERA,2020-02-19,AMAGGI,PRADO,BIEL,MUNITA,PALLAVICINI
189,PRIMERA,2020-02-20,AMAGGI,AEGNEM,A,BIEL,PALLAVICINI
196,PRIMERA,2020-02-21,AMAGGI,AEGNEM,BIEL,AETCHEBERRY,
204,PRIMERA,2020-02-24,AEGNEM,PRADO,BIEL,MUNITA,
213,PRIMERA,2020-02-25,AEGNEM,PRADO,BIEL,MUNITA,
221,PRIMERA,2020-02-26,AEGNEM,PRADO,MU,LAGOS,
229,PRIMERA,2020-02-27,AEGNEM,PRADO,MU,GÓMEZ,
242,PRIMERA,2020-02-28,AEGNEM,A,BIEL,GÓMEZ,
247,PRIMERA,2020-02-18,AMAGGI,PRADO,BIEL,, MU
254,PRIMERA,2020-02-07,ARANGUIZ,PRADO,BIEL,MERA,AETCHEBERRY
266,PRIMERA,2020-02-06,ARANGUIZ,PRADO,BIEL,LAGOS,GOMEZ
278,PRIMERA,2020-02-05,ARANGUIZ,PRADO,BIEL,MERA,AETCHEBERRY
290,PRIMERA,2020-02-04,ARANGUIZ,PRADO,BIEL,MERA,AETCHEBERRY
304,PRIMERA,2020-02-03,ARANGUIZ,BIEL,MERA,AETCHEBERRY,GOMEZ
308,PRIMERA,2020-03-10,AEGNEM,, FUENTES,PRADO,PEÑAILILLO
309,PRIMERA,2020-03-11,AEGNEM,, FUENTES,PRADO,MUNITA
313,PRIMERA,2020-03-12,AEGNEM,, FUENTES,PRADO,MUNITA
316,PRIMERA,2020-03-13,AEGNEM,, FUENTES,PRADO,MUNITA
320,PRIMERA,2020-03-16,AEGNEM,, FUENTES,AMU,PRADO
325,PRIMERA,2020-03-17,AEGNEM,, FUENTES,PRADO,MU
326,PRIMERA,2020-03-18,FUENTES,PRADO,MU,MUNITA.,BARRA
332,PRIMERA,2020-03-19,AMAGGI,FUENTES,PRADO,MU,MUNITA.
340,PRIMERA,2020-03-23,AMAGGI,AEGNEM,FUENTES,PRADO,MU
346,PRIMERA,2020-03-24,AMAGGI,AEGNEM,FUENTES,PRADO,MU
353,PRIMERA,2020-03-25,AMAGGI,AEGNEM,FUENTES,PRADO,MU
363,PRIMERA,2020-03-26,AMAGGI,AEGNEM,FUENTES,PRADO,MU
370,PRIMERA,2020-03-27,AMAGGI,AEGNEM,FUENTES,PRADO,ZEPEDA
377,PRIMERA,2020-03-30,AMAGGI,AEGNEM,FUENTES,PRADO,MU
385,PRIMERA,2020-03-09,AEGNEM,, FUENTES,PRADO,PEÑAILILLO
393,PRIMERA,2020-03-06,AMAGGI,A,, FUENTES,ARANGUIZ
401,PRIMERA,2020-03-05,AMAGGI,A,, FUENTES,ARANGUIZ
414,PRIMERA,2020-03-04,AMAGGI,A,, FUENTES,ARANGUIZ
430,PRIMERA,2020-03-02,AMAGGI,A,, FUENTES,AR
432,PRIMERA,2020-04-13,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
434,PRIMERA,2020-04-14,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
437,PRIMERA,2020-04-15,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
442,PRIMERA,2020-04-16,AMAGGI,AEGNEM,ARANGUIZ,PRADO,MUNITA
445,PRIMERA,2020-04-17,AMAGGI,AEGNEM,ARANGUIZ,PRADO,MUNITA
451,PRIMERA,2020-04-20,AMAGGI,AEGNEM,ARANGUIZ,PRADO,GOMEZ
455,PRIMERA,2020-04-21,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
461,PRIMERA,2020-04-22,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
469,PRIMERA,2020-04-23,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
479,PRIMERA,2020-04-24,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
492,PRIMERA,2020-04-27,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
504,PRIMERA,2020-04-28,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
517,PRIMERA,2020-04-29,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
531,PRIMERA,2020-04-09,AMAGGI,AEGNEM,FUENTES,PRADO,MU
545,PRIMERA,2020-04-08,AMAGGI,AEGNEM,FUENTES,PRADO,MU
560,PRIMERA,2020-04-07,AMAGGI,AEGNEM,FUENTES,PRADO,MU
578,PRIMERA,2020-04-03,AMAGGI,AEGNEM,FUENTES,PRADO,MU
594,PRIMERA,2020-04-02,AMAGGI,AEGNEM,FUENTES,PRADO,MU
614,PRIMERA,2020-04-01,AMAGGI,AEGNEM,FUENTES,PRADO,MU
617,PRIMERA,2020-05-11,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,GOMEZ
618,PRIMERA,2020-05-12,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
624,PRIMERA,2020-05-13,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
629,PRIMERA,2020-05-14,AEGNEM,FUENTES,ARANGUIZ,PRADO,MUNITA
635,PRIMERA,2020-05-15,AEGNEM,FUENTES,ARANGUIZ,PRADO,GOMEZ
641,PRIMERA,2020-05-18,AMAGGI,FUENTES,ARANGUIZ,PRADO,GOMEZ
647,PRIMERA,2020-05-19,AMAGGI,FUENTES,ARANGUIZ,PRADO,GOMEZ
656,PRIMERA,2020-05-20,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
665,PRIMERA,2020-05-22,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
675,PRIMERA,2020-05-25,AMAGGI,AEGNEM,FUENTES,ARANGUIZ,PRADO
