,Sala,Presidente,Ministros,Integrantes,Fecha2,Ministros2,Abogados,Integrante1,Integrante2,Integrante3,Integrante4,Causa1,Causa2,Causa3,Causa4
0,PRIMERA,  SEGURA,  VALDES SILVA FUENTES   ,VALDES SILVA FUENTES LECAROS,2015-01-12 00:00:00,,   LECAROS,VALDES,SILVA,FUENTES,LECAROS,feriado,,,
1,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI   ,VALDES SILVA MAGGI LECAROS,2015-01-15 00:00:00,,   LECAROS,VALDES,SILVA,MAGGI,LECAROS,permiso,,,
2,PRIMERA,  VALDES,  SILVA ARANGUIZ   ,SILVA ARANGUIZ  BARA ONA LECAROS ,2015-01-29 00:00:00,,  BARA ONA  LECAROS ,SILVA,ARANGUIZ,BARAONA,LECAROS,licencia,permiso,feriado,
5,PRIMERA,  SEGURA,  VALDES SILVA SEEÑORA MAGGI   ,VALDES SILVA SEEÑORA MAGGI LECAROS,2015-01-14 00:00:00,,   LECAROS,VALDES,SILVA,SEEÑORA,MAGGI,permiso,,,
8,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  LAGOS PRIETO ,2015-01-19 00:00:00,,  LAGOS  PRIETO ,VALDES,SILVA,,LAGOS,,,,
10,PRIMERA,  SEGURA,  VALDES SILVA  MAGGI   ,VALDES SILVA MAGGI LECAROS,2015-01-13 00:00:00,,   LECAROS,VALDES,SILVA,MAGGI,LECAROS,,,,
15,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  PFEFFER LECAROS ,2015-01-20 00:00:00,,  PFEFFER  LECAROS ,VALDES,SILVA,,PFEFFER,licencia,feriado,,
21,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  LAGOS PRIETO ,2015-01-21 00:00:00,,  LAGOS  PRIETO ,VALDES,SILVA,,LAGOS,licencia,feriado,,
26,PRIMERA,  SEGURA,  VALDES SILVA  LOS ABOOGADOS ,VALDES SILVA LOS ABOOGADOS LAGOS LECAROS ,2015-01-22 00:00:00,,  LAGOS  LECAROS ,VALDES,SILVA,LOS,ABOOGADOS,licencia,feriado,,
37,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  BARA ONA LAGOS ,2015-01-26 00:00:00,,  BARA ONA  LAGOS ,VALDES,SILVA,BARAONA,LAGOS,licencia,feriado,,
43,PRIMERA,  SEGURA,  VALDES SILVA   ,VALDES SILVA  BARA ONA LECAROS ,2015-01-27 00:00:00,,  BARA ONA  LECAROS ,VALDES,SILVA,BARAONA,LECAROS,licencia,feriado,,
50,PRIMERA,  VALDES,  SILVA ARANGUIZ   ,SILVA ARANGUIZ  LAGOS PRIETO ,2015-01-28 00:00:00,,  LAGOS  PRIETO ,SILVA,ARANGUIZ,,LAGOS,licencia,permiso,feriado,
