Meses,Producto,Region,Año,Valor
Enero,Total leche fluida elaborada (Litros),Metropolitana,2002,11407045
Febrero,Total leche fluida elaborada (Litros),Metropolitana,2002,11425884
Marzo,Total leche fluida elaborada (Litros),Metropolitana,2002,11909284
Abril,Total leche fluida elaborada (Litros),Metropolitana,2002,11491663
Mayo,Total leche fluida elaborada (Litros),Metropolitana,2002,9755400
Junio,Total leche fluida elaborada (Litros),Metropolitana,2002,12298990
Julio,Total leche fluida elaborada (Litros),Metropolitana,2002,11816233
Agosto,Total leche fluida elaborada (Litros),Metropolitana,2002,11358420
Septiembre,Total leche fluida elaborada (Litros),Metropolitana,2002,10517085
Octubre,Total leche fluida elaborada (Litros),Metropolitana,2002,11028546
Noviembre,Total leche fluida elaborada (Litros),Metropolitana,2002,11402281
Diciembre,Total leche fluida elaborada (Litros),Metropolitana,2002,11164696
Enero,Total leche fluida elaborada (Litros),Ñuble,2002,0
Febrero,Total leche fluida elaborada (Litros),Ñuble,2002,0
Marzo,Total leche fluida elaborada (Litros),Ñuble,2002,0
Abril,Total leche fluida elaborada (Litros),Ñuble,2002,0
Mayo,Total leche fluida elaborada (Litros),Ñuble,2002,0
Junio,Total leche fluida elaborada (Litros),Ñuble,2002,0
Julio,Total leche fluida elaborada (Litros),Ñuble,2002,0
Agosto,Total leche fluida elaborada (Litros),Ñuble,2002,0
Septiembre,Total leche fluida elaborada (Litros),Ñuble,2002,0
Octubre,Total leche fluida elaborada (Litros),Ñuble,2002,0
Noviembre,Total leche fluida elaborada (Litros),Ñuble,2002,0
Diciembre,Total leche fluida elaborada (Litros),Ñuble,2002,0
Enero,Total leche fluida elaborada (Litros),Biobío,2002,2378581
Febrero,Total leche fluida elaborada (Litros),Biobío,2002,1511548
Marzo,Total leche fluida elaborada (Litros),Biobío,2002,1812940
Abril,Total leche fluida elaborada (Litros),Biobío,2002,2048402
Mayo,Total leche fluida elaborada (Litros),Biobío,2002,1906814
Junio,Total leche fluida elaborada (Litros),Biobío,2002,1718547
Julio,Total leche fluida elaborada (Litros),Biobío,2002,1353694
Agosto,Total leche fluida elaborada (Litros),Biobío,2002,843418
Septiembre,Total leche fluida elaborada (Litros),Biobío,2002,900362
Octubre,Total leche fluida elaborada (Litros),Biobío,2002,1024466
Noviembre,Total leche fluida elaborada (Litros),Biobío,2002,1134638
Diciembre,Total leche fluida elaborada (Litros),Biobío,2002,1139078
Enero,Total leche fluida elaborada (Litros),La Araucanía,2002,4781115
Febrero,Total leche fluida elaborada (Litros),La Araucanía,2002,4367287
Marzo,Total leche fluida elaborada (Litros),La Araucanía,2002,5541902
Abril,Total leche fluida elaborada (Litros),La Araucanía,2002,5538292
Mayo,Total leche fluida elaborada (Litros),La Araucanía,2002,4906185
Junio,Total leche fluida elaborada (Litros),La Araucanía,2002,5771491
Julio,Total leche fluida elaborada (Litros),La Araucanía,2002,6217880
Agosto,Total leche fluida elaborada (Litros),La Araucanía,2002,5408168
Septiembre,Total leche fluida elaborada (Litros),La Araucanía,2002,3408018
Octubre,Total leche fluida elaborada (Litros),La Araucanía,2002,3739656
Noviembre,Total leche fluida elaborada (Litros),La Araucanía,2002,3654181
Diciembre,Total leche fluida elaborada (Litros),La Araucanía,2002,6593824
Enero,Total leche fluida elaborada (Litros),Los Ríos,2002,2711718
Febrero,Total leche fluida elaborada (Litros),Los Ríos,2002,2423488
Marzo,Total leche fluida elaborada (Litros),Los Ríos,2002,3194005
