
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-01-01;52.377,37;5429471609625;53.945,54;5458708575009;55.351,33;7269758641053;51.732,02;2327283436886;51.640,76;1262439249272;51.788,40;5156541408158;52.557,94;183318363603
2022-01-02;52.377,37;5429471609625;53.945,54;5458708575009;55.351,33;7269758641053;51.732,02;2327283436886;51.640,76;1262439249272;51.788,40;5156541408158;52.557,94;183318363603
2022-01-03;52.235,88;5422119013006;53.811,20;5453752674710;55.215,51;7257750022239;51.599,14;2319935786075;51.505,64;1259819842259;51.654,40;5141769189845;52.409,76;182388606095
2022-01-04;52.555,98;5460689817605;54.121,70;5490207989864;55.547,95;7307826196623;51.926,80;2335945938094;51.830,09;1267932672226;51.959,57;5174057511222;52.750,28;183897070396
2022-01-05;52.510,41;5458998102347;54.056,59;5488143238050;55.512,16;7305789819255;51.883,82;2335086382285;51.790,18;1265996170779;51.890,51;5169347909046;52.660,01;183784017381
2022-01-06;51.705,94;5375800313222;53.263,31;5407201804262;54.698,99;7200004790624;51.105,65;2300613605443;51.036,08;1248054487150;51.123,21;5094118093055;51.871,38;180949161069
2022-01-07;51.364,35;5340655525393;52.917,80;5369859439535;54.336,52;7149339919602;50.764,74;2286325221395;50.708,35;1240274188859;50.822,20;5063868868478;51.544,72;179974557902
2022-01-08;51.364,35;5340655525393;52.917,80;5369859439535;54.336,52;7149339919602;50.764,74;2286325221395;50.708,35;1240274188859;50.822,20;5063868868478;51.544,72;179974557902
2022-01-09;51.364,35;5340655525393;52.917,80;5369859439535;54.336,52;7149339919602;50.764,74;2286325221395;50.708,35;1240274188859;50.822,20;5063868868478;51.544,72;179974557902
2022-01-10;51.096,85;5317791242545;52.623,29;5341999412805;54.042,63;7114489123758;50.471,35;2275749660461;50.431,87;1234944765587;50.524,36;5036780243287;51.241,67;179597991900
2022-01-11;50.993,81;5311244508436;52.497,67;5333124107539;53.913,95;7100806611478;50.347,97;2276563360426;50.324,47;1235475385987;50.406,63;5029961128622;51.119,69;180374651981
2022-01-12;51.194,17;5337979575436;52.705,38;5358660211474;54.128,28;7134733355426;50.540,34;2296447178563;50.525,94;1245524662406;50.597,51;5050677645681;51.322,53;183429933782
2022-01-13;51.378,77;5362048260614;52.892,80;5381251442350;54.339,06;7167808388731;50.725,93;2313203674939;50.688,03;1256384117229;50.761,09;5077994314278;51.525,70;186552529693
2022-01-14;51.082,51;5333205069399;52.616,92;5353608087925;54.045,43;7123697724113;50.444,82;2309093030377;50.416,67;1255447894373;50.468,89;5053652320921;51.223,81;188674968974
2022-01-15;51.082,51;5333205069399;52.616,92;5353608087925;54.045,43;7123697724113;50.444,82;2309093030377;50.416,67;1255447894373;50.468,89;5053652320921;51.223,81;188674968974
2022-01-16;51.082,51;5333205069399;52.616,92;5353608087925;54.045,43;7123697724113;50.444,82;2309093030377;50.416,67;1255447894373;50.468,89;5053652320921;51.223,81;188674968974
2022-01-17;50.625,70;5290366547049;52.130,03;5307059270525;53.549,92;7061002072369;49.975,54;2296387526683;49.974,53;1257706816804;50.017,25;5012840016025;50.774,69;188837773668
2022-01-18;50.913,54;5317715548799;52.436,62;5336161148720;53.868,94;7099563826556;50.271,78;2309727129587;50.266,27;1265982970311;50.311,91;5041911042383;51.066,36;190366714475
2022-01-19;50.522,97;5275520550609;52.036,90;5295696189739;53.460,37;7042451084312;49.843,28;2289817552703;49.874,83;1254845809159;49.900,16;5000679291337;50.651,85;188949377904
2022-01-20;50.205,24;5239903359699;51.729,62;5265870462835;53.151,25;7000109704181;49.543,56;2275060474886;49.570,36;1247158832113;49.614,13;4972556026972;50.352,86;187675811840
2022-01-21;49.959,17;5214189685469;51.463,70;5239063137257;52.877,84;6966418190870;49.284,66;2262780676217;49.307,00;1239641841141;49.386,36;4948247957529;50.126,68;186756279688
2022-01-22;49.959,17;5214189685469;51.463,70;5239063137257;52.877,84;6966418190870;49.284,66;2262780676217;49.307,00;1239641841141;49.386,36;4948247957529;50.126,68;186756279688
