
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-01-01;50.343,07;9967852471803;57.340,16;10232030828592;57.563,64;16815981558610;54.306,32;1964172174030;98.516,67;1735215082019;48.603,04;12147202257917;54.573,45;206731515668
2022-01-02;50.343,07;9967852471803;57.340,16;10232030828592;57.563,64;16815981558610;54.306,32;1964172174030;98.516,67;1735215082019;48.603,04;12147202257917;54.573,45;206731515668
2022-01-03;50.269,37;9951259437269;57.268,44;10220353285657;57.489,10;16789875506916;54.233,97;1959528668843;98.372,81;1734544373934;48.527,21;12121805183859;54.490,55;204990526470
2022-01-04;50.486,16;9985083295281;57.491,41;10254457558246;57.738,13;16851241392091;54.472,52;1967419503219;98.806,28;1741972793323;48.737,05;12169867068618;54.755,50;206232733883
2022-01-05;50.369,76;9959438141187;57.334,27;10228073383702;57.610,97;16809158338765;54.352,47;1962882606638;98.610,13;1738083835413;48.591,07;12133823517293;54.596,38;205535682014
2022-01-06;49.828,12;9850710093484;56.745,32;10111870807010;57.012,25;16633974987737;53.771,53;1942048302659;97.618,51;1720662503689;48.082,39;12007474941666;54.022,32;203174657954
2022-01-07;49.567,94;9796329792549;56.467,88;10061871124867;56.725,24;16545358881157;53.498,13;1932972705082;97.125,17;1711850584325;47.865,52;11947809584430;53.744,25;201997866288
2022-01-08;49.567,94;9796329792549;56.467,88;10061871124867;56.725,24;16545358881157;53.498,13;1932972705082;97.125,17;1711850584325;47.865,52;11947809584430;53.744,25;201997866288
2022-01-09;49.567,94;9796329792549;56.467,88;10061871124867;56.725,24;16545358881157;53.498,13;1932972705082;97.125,17;1711850584325;47.865,52;11947809584430;53.744,25;201997866288
2022-01-10;49.416,09;9764075784951;56.287,82;10031475560833;56.552,35;16489103957577;53.307,55;1926928283526;96.819,86;1706715730417;47.678,00;11901193250416;53.545,35;201112732078
2022-01-11;49.340,47;9747821649575;56.191,82;9997221975718;56.452,42;16455169299791;53.209,80;1924608669742;96.652,58;1704697523798;47.596,38;11882799719987;53.442,40;201343735482
2022-01-12;49.356,68;9746336103712;56.222,20;10007367838306;56.495,89;16464791729201;53.239,00;1930378536966;96.729,94;1707802952232;47.589,00;11880596266562;53.461,24;202181763924
2022-01-13;49.493,94;9777740047559;56.378,41;10038036930712;56.655,07;16512004209775;53.388,06;1938617715064;96.982,75;1715170679564;47.711,03;11925730642755;53.620,06;203809024271
2022-01-14;49.329,89;9752855601561;56.227,22;10012465384501;56.470,38;16452161448960;53.223,70;1936272488213;96.701,10;1710264110446;47.557,81;11887228811428;53.453,80;204664578010
2022-01-15;49.329,89;9752855601561;56.227,22;10012465384501;56.470,38;16452161448960;53.223,70;1936272488213;96.701,10;1710264110446;47.557,81;11887228811428;53.453,80;204664578010
2022-01-16;49.329,89;9752855601561;56.227,22;10012465384501;56.470,38;16452161448960;53.223,70;1936272488213;96.701,10;1710264110446;47.557,81;11887228811428;53.453,80;204664578010
2022-01-17;49.013,97;9693503403432;55.860,76;9946156487650;56.107,07;16355917405717;52.868,39;1924380336112;96.101,00;1708845172966;47.265,87;11818477367542;53.117,04;202764407436
2022-01-18;49.217,37;9733599861587;56.099,33;9988454787784;56.348,43;16422470528679;53.103,48;1931554493724;96.508,82;1714242626009;47.464,62;11869076489208;53.355,95;204127120966
2022-01-19;48.946,44;9680036339409;55.797,91;9931612855590;56.048,25;16333166766932;52.770,27;1918590791553;95.977,51;1704481388417;47.175,32;11797188915869;53.033,76;202980139164
2022-01-20;48.727,96;9636554402875;55.568,22;9889512074679;55.816,79;16261686155142;52.534,43;1909747752389;95.570,02;1697452641031;46.978,15;11747571419385;52.814,35;201811857346
2022-01-21;48.690,93;9629129474281;55.514,14;9879535946754;55.753,60;16242173485267;52.473,64;1907150639556;95.461,00;1695381350991;46.958,29;11740673910823;52.787,50;201644563421
2022-01-22;48.690,93;9629129474281;55.514,14;9879535946754;55.753,60;16242173485267;52.473,64;1907150639556;95.461,00;1695381350991;46.958,29;11740673910823;52.787,50;201644563421
2022-01-23;48.690,93;9629129474281;55.514,14;9879535946754;55.753,60;16242173485267;52.473,64;1907150639556;95.461,00;1695381350991;46.958,29;11740673910823;52.787,50;201644563421
2022-01-24;48.739,89;9636477136593;55.555,19;9883486106900;55.773,67;16246880605107;52.494,34;1907509228036;95.507,43;1696135549575;47.063,07;11766370227640;52.833,94;201987943850
2022-01-25;48.544,10;9592497025072;55.307,81;9836560852957;55.528,72;16167691426133;52.264,03;1898688859951;95.104,43;1688841495561;46.896,53;11725508555471;52.640,18;201277756892
2022-01-26;48.576,34;9602529764648;55.323,74;9840170540184;55.540,89;16174809699385;52.270,52;1899030896438;95.169,38;1689555936352;46.904,91;11729066879343;52.657,30;202268404958
2022-01-27;48.458,80;9581183754936;55.205,07;9821662987011;55.405,49;16134859901029;52.122,69;1895146184709;94.927,43;1684970064619;46.742,54;11690570252662;52.510,56;202166088337
2022-01-28;47.915,11;9475018801200;54.598,22;9714297220200;54.789,19;15950853593411;51.502,39;1874055764078;93.930,75;1666615535161;46.197,13;11553405711494;51.898,04;200409867100
2022-01-29;47.915,11;9475018801200;54.598,22;9714297220200;54.789,19;15950853593411;51.502,39;1874055764078;93.930,75;1666615535161;46.197,13;11553405711494;51.898,04;200409867100
2022-01-30;47.915,11;9475018801200;54.598,22;9714297220200;54.789,19;15950853593411;51.502,39;1874055764078;93.930,75;1666615535161;46.197,13;11553405711494;51.898,04;200409867100
2022-01-31;48.165,01;9507243466877;54.863,89;9749598591854;55.061,86;16006233858187;51.773,76;1884630613801;94.402,03;1673641400740;46.484,59;11591097478078;52.160,98;201274233404
2022-02-01;48.411,91;9559648606294;55.117,01;9786757542234;55.312,38;16086039002431;52.040,96;1893331322259;94.805,56;1682182455264;46.751,84;11658316258076;52.454,51;202067152672
2022-02-02;48.625,08;9600506432493;55.400,98;9837183791461;55.591,89;16163269385800;52.307,23;1903752674033;95.266,37;1689945693880;46.971,51;11713752748388;52.693,51;203303744335
2022-02-03;48.913,10;9653799589312;55.730,85;9890686862175;55.922,40;16256523138664;52.630,91;1916106764138;95.821,03;1700189561273;47.278,25;11790039984125;52.992,05;204802138437
2022-02-04;48.976,78;9663018500247;55.823,90;9903422629211;56.024,21;16280459703813;52.698,69;1917859766407;95.965,20;1702261031240;47.331,68;11799969572048;53.036,20;205199134388
2022-02-05;48.976,78;9663018500247;55.823,90;9903422629211;56.024,21;16280459703813;52.698,69;1917859766407;95.965,20;1702261031240;47.331,68;11799969572048;53.036,20;205199134388
2022-02-06;48.976,78;9663018500247;55.823,90;9903422629211;56.024,21;16280459703813;52.698,69;1917859766407;95.965,20;1702261031240;47.331,68;11799969572048;53.036,20;205199134388
2022-02-07;49.160,53;9696956445584;56.048,73;9944560131921;56.243,14;16345646571611;52.887,96;1924819875426;96.319,30;1708808449522;47.528,10;11850609736839;53.229,54;205937050675
2022-02-08;49.210,46;9707063881079;56.093,41;9952291444837;56.280,10;16352814418375;52.937,93;1927589874286;96.360,96;1709564089675;47.558,66;11859102921991;53.283,42;206199525344
2022-02-09;49.134,27;9689617988788;55.987,47;9930417032758;56.190,70;16324867361768;52.864,83;1924924077989;96.238,49;1707709332530;47.418,96;11827334788136;53.178,19;206230143219
2022-02-10;49.310,56;9726075044712;56.187,38;9967760516181;56.399,96;16386962273092;53.102,78;1934621478505;96.574,61;1714326628655;47.615,14;11877463803630;53.394,97;207452313602
2022-02-11;48.880,45;9635498376933;55.701,70;9867874588242;55.908,77;16248800117049;52.591,87;1919468049278;95.739,84;1700640082806;47.134,29;11759015908175;52.920,12;205985007851
2022-02-12;48.880,45;9635498376933;55.701,70;9867874588242;55.908,77;16248800117049;52.591,87;1919468049278;95.739,84;1700640082806;47.134,29;11759015908175;52.920,12;205985007851
2022-02-13;48.880,45;9635498376933;55.701,70;9867874588242;55.908,77;16248800117049;52.591,87;1919468049278;95.739,84;1700640082806;47.134,29;11759015908175;52.920,12;205985007851
2022-02-14;48.773,78;9622933655216;55.550,74;9850729050839;55.782,67;16222708036684;52.454,09;1919942691724;95.533,61;1697717801889;46.985,21;11732041459393;52.806,78;206693918000
2022-02-15;48.583,89;9609673511561;55.339,95;9819919853702;55.561,35;16166454448770;52.237,04;1913907198414;95.161,56;1698017071498;46.821,81;11695239840595;52.600,68;206332332162
2022-02-16;48.636,57;9623849608743;55.402,62;9829754661632;55.613,42;16176370515354;52.299,88;1917946694370;95.319,83;1703931689125;46.856,21;11707353999133;52.652,84;207251254870
2022-02-17;48.692,48;9632825232155;55.457,75;9842238617929;55.687,86;16204506763976;52.324,89;1918452255602;95.427,67;1705229806857;46.918,79;11722133004279;52.677,74;207433232441
2022-02-18;48.579,53;9612907262349;55.337,82;9821507524257;55.558,15;16165338006925;52.202,44;1914362844185;95.229,43;1702088401771;46.808,06;11694665920939;52.540,34;207286147351
2022-02-19;48.579,53;9612907262349;55.337,82;9821507524257;55.558,15;16165338006925;52.202,44;1914362844185;95.229,43;1702088401771;46.808,06;11694665920939;52.540,34;207286147351
2022-02-20;48.579,53;9612907262349;55.337,82;9821507524257;55.558,15;16165338006925;52.202,44;1914362844185;95.229,43;1702088401771;46.808,06;11694665920939;52.540,34;207286147351
2022-02-21;48.350,79;9569477924248;55.073,42;9777196742949;55.274,47;16082880616842;51.913,98;1902827525768;94.751,09;1693581137561;46.566,14;11634169187547;52.268,54;206142657123
2022-02-22;48.302,47;9559688792591;55.025,32;9767300596165;55.229,51;16067020404831;51.876,13;1901175176945;94.721,30;1692783976564;46.518,12;11621180902415;52.234,15;205845444967
2022-02-23;48.097,81;9516135236397;54.812,09;9725346863838;55.001,95;15997478688349;51.632,19;1891521450900;94.295,98;1684476805091;46.335,12;11574050264794;52.016,62;204656767591
2022-02-24;47.873,25;9469330507905;54.555,04;9679429159544;54.731,76;15916339283686;51.343,64;1880278307444;93.856,94;1676709859200;46.117,34;11520596701945;51.763,72;203630004659
2022-02-25;47.834,80;9460353750887;54.501,22;9666914362731;54.694,72;15897404597193;51.357,72;1881190991651;93.832,68;1676290015926;46.134,69;11523212566866;51.769,65;203757966216
2022-02-26;47.834,80;9460353750887;54.501,22;9666914362731;54.694,72;15897404597193;51.357,72;1881190991651;93.832,68;1676290015926;46.134,69;11523212566866;51.769,65;203757966216
2022-02-27;47.834,80;9460353750887;54.501,22;9666914362731;54.694,72;15897404597193;51.357,72;1881190991651;93.832,68;1676290015926;46.134,69;11523212566866;51.769,65;203757966216
2022-02-28;48.234,84;9519012174829;54.942,86;9728598773778;55.130,30;15994718207395;51.784,55;1898343120055;94.558,46;1688333895483;46.485,58;11580954894429;52.164,41;205054085944
