
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-01-01;38.518,72;4728574815281;40.427,57;3036226519877;41.315,64;5608035236427;38.936,70;449194073517;36.769,07;804747001055;37.433,96;7398686873694;41.354,57;28228973794
2022-01-02;38.518,72;4728574815281;40.427,57;3036226519877;41.315,64;5608035236427;38.936,70;449194073517;36.769,07;804747001055;37.433,96;7398686873694;41.354,57;28228973794
2022-01-03;38.488,90;4723613589135;40.406,52;3032321004092;41.288,42;5604023292751;38.918,76;448480504913;36.744,70;805164423298;37.406,19;7386416003533;41.325,83;28108092455
2022-01-04;38.593,77;4730113179717;40.517,09;3038545358280;41.401,00;5614922247621;39.030,83;449258371677;36.849,47;807181941388;37.502,39;7401707618693;41.442,65;28206732012
2022-01-05;38.408,20;4705902130542;40.331,60;3022037233199;41.209,32;5585066515053;38.863,17;446998627028;36.709,41;803345963144;37.314,98;7367972689863;41.238,32;28082853665
2022-01-06;38.128,27;4670995256459;40.068,94;2999669810413;40.922,88;5545991457067;38.581,73;443808704822;36.448,61;797711388538;37.045,98;7314859093119;40.961,21;27927930615
2022-01-07;38.084,03;4662741376698;40.029,73;2994591283818;40.885,32;5538358535093;38.535,63;443435750247;36.407,97;796227529234;37.022,05;7306849718147;40.909,12;27890789822
2022-01-08;38.084,03;4662741376698;40.029,73;2994591283818;40.885,32;5538358535093;38.535,63;443435750247;36.407,97;796227529234;37.022,05;7306849718147;40.909,12;27890789822
2022-01-09;38.084,03;4662741376698;40.029,73;2994591283818;40.885,32;5538358535093;38.535,63;443435750247;36.407,97;796227529234;37.022,05;7306849718147;40.909,12;27890789822
2022-01-10;38.043,85;4656068181879;39.991,44;2989821952266;40.843,14;5530364232040;38.500,51;443054490729;36.375,54;795388115567;36.975,38;7290730140426;40.860,81;27894161844
2022-01-11;37.997,01;4648244481179;39.938,80;2977216281850;40.786,61;5520318918475;38.441,43;442321333058;36.332,39;793917626070;36.927,29;7281266681138;40.800,68;27848725742
2022-01-12;37.883,29;4618619277316;39.833,10;2968708552174;40.675,27;5497159487315;38.343,62;441931260650;36.241,36;792229435564;36.818,42;7252497397138;40.693,91;27929328481
2022-01-13;37.907,35;4621960432938;39.847,30;2970100862799;40.701,18;5495421133303;38.365,65;442462714028;36.251,36;792867953493;36.834,80;7260447311941;40.728,74;28055674771
2022-01-14;37.861,10;4615235400796;39.819,74;2967681677929;40.665,51;5486260616021;38.313,68;442173264182;36.225,21;788645054711;36.761,72;7229320411338;40.700,85;28250094248
2022-01-15;37.861,10;4615235400796;39.819,74;2967681677929;40.665,51;5486260616021;38.313,68;442173264182;36.225,21;788645054711;36.761,72;7229320411338;40.700,85;28250094248
2022-01-16;37.861,10;4615235400796;39.819,74;2967681677929;40.665,51;5486260616021;38.313,68;442173264182;36.225,21;788645054711;36.761,72;7229320411338;40.700,85;28250094248
2022-01-17;37.827,38;4610252063492;39.778,90;2964665123225;40.635,62;5483560091537;38.261,29;441184924253;36.198,05;789643671804;36.747,38;7228791832900;40.663,30;28371902174
2022-01-18;37.922,61;4620230535356;39.890,99;2970704405602;40.754,76;5498251877838;38.378,53;441381859606;36.296,75;791400869598;36.838,99;7245775615884;40.764,84;28560795770
2022-01-19;37.807,71;4604731713332;39.763,77;2958807623095;40.638,74;5479329910850;38.237,02;439820439790;36.191,10;788840313201;36.712,55;7220451222315;40.633,87;28419653952
2022-01-20;37.667,53;4585353599501;39.626,90;2947830015509;40.495,74;5458484946468;38.077,28;437781063012;36.054,65;785753915664;36.572,75;7192604158594;40.491,46;28298834078
2022-01-21;37.758,30;4594520029009;39.712,72;2952078339407;40.582,07;5466888295114;38.133,71;438277846646;36.126,98;786935891729;36.672,64;7209687554602;40.580,25;28289669883
2022-01-22;37.758,30;4594520029009;39.712,72;2952078339407;40.582,07;5466888295114;38.133,71;438277846646;36.126,98;786935891729;36.672,64;7209687554602;40.580,25;28289669883
2022-01-23;37.758,30;4594520029009;39.712,72;2952078339407;40.582,07;5466888295114;38.133,71;438277846646;36.126,98;786935891729;36.672,64;7209687554602;40.580,25;28289669883
2022-01-24;38.080,19;4633807743575;40.053,52;2977511871493;40.920,51;5510808633581;38.414,07;441372765161;36.419,45;793191078503;37.025,90;7278597395041;40.912,65;28526223877
2022-01-25;38.157,22;4646479128465;40.122,94;2982602440055;40.993,97;5522570834268;38.483,07;442444173371;36.496,14;794995657174;37.108,94;7296348155416;41.006,62;28706995782
2022-01-26;38.209,82;4654570975385;40.175,07;2986020941248;41.013,97;5526012380654;38.521,22;443335990383;36.544,83;795905606591;37.148,26;7304023729955;41.041,72;28942968965
2022-01-27;38.067,60;4640130454231;40.038,00;2976781718905;40.840,57;5504629618232;38.372,10;441938017729;36.405,78;793168100161;36.991,57;7274434697413;40.900,64;28925045493
2022-01-28;37.559,09;4582204317609;39.516,33;2942361375424;40.299,55;5435797163912;37.862,90;437127294579;35.931,73;783221160442;36.452,77;7170328702916;40.357,91;28867379941
2022-01-29;37.559,09;4582204317609;39.516,33;2942361375424;40.299,55;5435797163912;37.862,90;437127294579;35.931,73;783221160442;36.452,77;7170328702916;40.357,91;28867379941
2022-01-30;37.559,09;4582204317609;39.516,33;2942361375424;40.299,55;5435797163912;37.862,90;437127294579;35.931,73;783221160442;36.452,77;7170328702916;40.357,91;28867379941
2022-01-31;37.743,02;4637594120325;39.687,80;2983548882569;40.506,04;5512886558210;38.036,63;439584855579;36.085,23;789433473164;36.656,32;7265884670387;40.534,63;29085253397
2022-02-01;38.038,84;4675997841110;39.971,38;3005543653373;40.792,90;5556571922650;38.322,37;443286386401;36.341,88;795791975879;36.975,49;7327691884797;40.840,20;29305430656
2022-02-02;38.227,18;4703200388578;40.198,14;3021689917079;41.010,42;5593081310700;38.529,04;446750213612;36.536,69;800651035910;37.150,11;7362803527447;41.041,07;29573686612
2022-02-03;38.413,91;4727905534752;40.386,89;3033722032972;41.202,03;5619811223877;38.720,14;449879190877;36.704,56;804401672956;37.346,53;7405179920764;41.225,56;29722588541
2022-02-04;38.429,11;4733563340101;40.410,26;3037692339562;41.239,73;5627052161723;38.737,85;450206096210;36.713,91;804626027338;37.352,33;7406780641751;41.234,01;29824559981
2022-02-05;38.429,11;4733563340101;40.410,26;3037692339562;41.239,73;5627052161723;38.737,85;450206096210;36.713,91;804626027338;37.352,33;7406780641751;41.234,01;29824559981
2022-02-06;38.429,11;4733563340101;40.410,26;3037692339562;41.239,73;5627052161723;38.737,85;450206096210;36.713,91;804626027338;37.352,33;7406780641751;41.234,01;29824559981
2022-02-07;38.502,30;4743634939772;40.484,58;3043918877792;41.327,39;5638318030528;38.789,85;450887487670;36.778,72;806417749058;37.420,22;7421415264067;41.288,75;30062831542
2022-02-08;38.530,11;4746571342429;40.508,05;3046304934673;41.352,82;5640230146053;38.820,23;451595555101;36.803,24;806796421546;37.447,66;7426432000581;41.340,82;30161550752
2022-02-09;38.460,57;4739193400647;40.429,67;3040380974453;41.265,89;5628268054089;38.779,79;451776345327;36.755,10;805250190049;37.341,32;7406479250986;41.288,33;30290467416
2022-02-10;38.524,11;4745893828506;40.509,66;3046346769611;41.336,91;5638064313718;38.856,69;452802045274;36.810,99;806582853522;37.426,87;7418200009098;41.374,80;30485078041
2022-02-11;38.334,01;4706678734755;40.311,67;3025311081895;41.138,45;5609478379400;38.649,20;450887082774;36.642,80;803022462032;37.211,60;7368344601179;41.181,81;30437145875
2022-02-12;38.334,01;4706678734755;40.311,67;3025311081895;41.138,45;5609478379400;38.649,20;450887082774;36.642,80;803022462032;37.211,60;7368344601179;41.181,81;30437145875
