
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2022-01-01;44.998,78;2940270607678;47.006,62;2910883295792;42.982,25;3766148460282;46.261,31;958821714289;71.709,11;562086067899;42.085,03;2811427744509;46.656,92;107019508776
2022-01-02;44.998,78;2940270607678;47.006,62;2910883295792;42.982,25;3766148460282;46.261,31;958821714289;71.709,11;562086067899;42.085,03;2811427744509;46.656,92;107019508776
2022-01-03;44.983,48;2929205468125;47.003,17;2902880548489;42.972,60;3761269185241;46.261,27;955648622789;71.693,98;561276332353;42.077,90;2804593838348;46.653,61;106632607085
2022-01-04;45.053,01;2923760521746;47.077,09;2899554561984;43.057,99;3760916026177;46.352,54;955296340432;71.825,29;561800689973;42.159,60;2805896130250;46.751,72;106739651163
2022-01-05;44.744,11;2901180578992;46.785,33;2875848133772;42.801,59;3733378310994;46.102,49;949089154471;71.425,03;558240197208;41.841,44;2783667795883;46.440,10;106028203528
2022-01-06;44.534,43;2886129715985;46.594,43;2861133245724;42.601,22;3715656217001;45.897,54;944465102578;71.121,53;555808792388;41.628,09;2769183975643;46.267,81;105606527835
2022-01-07;44.612,01;2889961617326;46.682,51;2865676464224;42.686,05;3724092012338;45.983,04;945129607267;71.268,69;556830352334;41.753,91;2775541431626;46.331,24;105782438599
2022-01-08;44.612,01;2889961617326;46.682,51;2865676464224;42.686,05;3724092012338;45.983,04;945129607267;71.268,69;556830352334;41.753,91;2775541431626;46.331,24;105782438599
2022-01-09;44.612,01;2889961617326;46.682,51;2865676464224;42.686,05;3724092012338;45.983,04;945129607267;71.268,69;556830352334;41.753,91;2775541431626;46.331,24;105782438599
2022-01-10;44.653,35;2889646943887;46.730,05;2865784711174;42.732,25;3721605738581;46.038,72;945519767374;71.332,78;557238775119;41.781,64;2774824295907;46.377,43;105991295286
2022-01-11;44.603,23;2885419521907;46.679,47;2855101027270;42.679,13;3716023083658;46.007,23;945081849866;71.263,31;556393187279;41.729,76;2772097594073;46.310,82;105918094743
2022-01-12;44.358,64;2866453113579;46.444,00;2840461534530;42.471,39;3698873588260;45.774,22;941942590299;70.915,11;554216119412;41.481,03;2752966564001;46.065,31;105576127048
2022-01-13;44.311,54;2863216922737;46.383,81;2835478665091;42.428,41;3692963137748;45.721,62;941668861161;70.826,61;554092540785;41.408,63;2751978945383;46.019,71;105634303645
2022-01-14;44.337,42;2875408589192;46.438,96;2852610794406;42.455,33;3723653395735;45.765,16;946650695500;70.889,10;554649477210;41.425,18;2755541094473;46.065,60;106466126001
2022-01-15;44.337,42;2875408589192;46.438,96;2852610794406;42.455,33;3723653395735;45.765,16;946650695500;70.889,10;554649477210;41.425,18;2755541094473;46.065,60;106466126001
2022-01-16;44.337,42;2875408589192;46.438,96;2852610794406;42.455,33;3723653395735;45.765,16;946650695500;70.889,10;554649477210;41.425,18;2755541094473;46.065,60;106466126001
2022-01-17;44.490,48;2891700361606;46.579,59;2869878999176;42.591,36;3747751474938;45.912,09;950319358150;71.130,72;558883648970;41.579,27;2766967221980;46.211,13;106803362981
2022-01-18;44.565,89;2901512477782;46.669,79;2877507942341;42.661,11;3758886684201;45.988,95;951216961358;71.240,86;559331833089;41.655,13;2772853970088;46.278,07;106874711850
2022-01-19;44.506,00;2900392010377;46.608,18;2868094819293;42.597,45;3754775188576;45.926,83;949708974727;71.164,77;558479872633;41.590,42;2768437180593;46.225,49;106538456547
2022-01-20;44.359,73;2890592253652;46.454,50;2857535211369;42.484,98;3741941218464;45.756,68;945923418157;70.930,21;556334851229;41.421,38;2756698290545;46.071,62;106179123444
2022-01-21;44.561,50;2902567576017;46.640,61;2866194233418;42.644,45;3747475633671;45.939,02;948720276001;71.227,06;558331721652;41.633,21;2768591525305;46.251,34;106371278624
2022-01-22;44.561,50;2902567576017;46.640,61;2866194233418;42.644,45;3747475633671;45.939,02;948720276001;71.227,06;558331721652;41.633,21;2768591525305;46.251,34;106371278624
2022-01-23;44.561,50;2902567576017;46.640,61;2866194233418;42.644,45;3747475633671;45.939,02;948720276001;71.227,06;558331721652;41.633,21;2768591525305;46.251,34;106371278624
2022-01-24;45.210,94;2972668009071;47.300,61;2917413578312;43.274,24;3820623029435;46.564,89;962821443662;72.274,64;566737726354;42.340,29;2820655710455;46.900,22;108107595253
2022-01-25;45.510,88;3017774083768;47.615,26;2956882538043;43.559,58;3872549520774;46.846,63;971266121668;72.745,49;571054809466;42.663,59;2857514843325;47.227,65;109017055239
2022-01-26;45.573,61;3039738038939;47.670,29;2973561521460;43.571,23;3886606327493;46.890,68;974328251853;72.826,71;572445432550;42.753,23;2867520927513;47.273,78;110039561135
2022-01-27;45.342,27;3076014673081;47.441,20;2980178616996;43.310,02;3891874205870;46.669,82;972055778623;72.433,50;570130538071;42.509,24;2858925566655;47.049,77;110217669931
2022-01-28;44.646,45;3103812914101;46.706,99;2983978045134;42.621,97;3882974475764;45.938,14;962525013519;71.282,41;563741546865;41.742,27;2825819118113;46.298,99;110516398188
2022-01-29;44.646,45;3103812914101;46.706,99;2983978045134;42.621,97;3882974475764;45.938,14;962525013519;71.282,41;563741546865;41.742,27;2825819118113;46.298,99;110516398188
2022-01-30;44.646,45;3103812914101;46.706,99;2983978045134;42.621,97;3882974475764;45.938,14;962525013519;71.282,41;563741546865;41.742,27;2825819118113;46.298,99;110516398188
2022-01-31;44.841,11;3154085663797;46.894,44;3014099718623;42.835,08;3937917209074;46.109,97;969831094138;71.568,04;567757376896;41.964,01;2840629983484;46.492,25;112793589445
2022-02-01;45.256,87;3203889100392;47.324,33;3059885647841;43.230,33;4003133223362;46.532,98;980566421532;72.207,44;574111073720;42.450,88;2878222355718;46.944,26;114620716829
2022-02-02;45.484,81;3235837657391;47.590,28;3090005810107;43.448,21;4049789990569;46.762,06;987267725725;72.614,95;578159924473;42.651,94;2895182419493;47.186,84;115736246599
2022-02-03;45.656,47;3270662481217;47.779,11;3112578142616;43.630,84;4076510068163;46.951,11;994102274838;72.894,68;581030113228;42.863,20;2912941812716;47.360,69;116683696769
2022-02-04;45.659,21;3296859374493;47.784,93;3133891090802;43.636,19;4100552890293;46.961,77;999378180411;72.903,23;582230377389;42.895,69;2921896533159;47.357,59;117195632806
2022-02-05;45.659,21;3296859374493;47.784,93;3133891090802;43.636,19;4100552890293;46.961,77;999378180411;72.903,23;582230377389;42.895,69;2921896533159;47.357,59;117195632806
2022-02-06;45.659,21;3296859374493;47.784,93;3133891090802;43.636,19;4100552890293;46.961,77;999378180411;72.903,23;582230377389;42.895,69;2921896533159;47.357,59;117195632806
2022-02-07;45.713,35;3307793498390;47.838,15;3131054501239;43.701,38;4112810318913;46.970,07;1001222138807;72.981,60;583216572068;42.914,70;2925542108464;47.380,25;117308234089
